...1	week	FirstDoses	SecondDoses	FirstDosesA	SecondDosesA	FirstDosesB	SecondDosesB	dataDate	FirstDosesAG1	FirstDosesAG2	FirstDosesAG3	SecondDosesAG1	SecondDosesAG2	SecondDosesAG3	FirstDosesBG1	FirstDosesBG2	FirstDosesBG3	SecondDosesBG1	SecondDosesBG2	SecondDosesBG3
2024-01-01	  1	0	0	  0	  0	  0	  0	2024-01-01	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-01	  1	0	0	  0	  0	  0	  0	2024-01-02	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-01	  1	0	0	  0	  0	  0	  0	2024-01-03	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-01	  1	0	0	  0	  0	  0	  0	2024-01-04	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-01	  1	0	0	  0	  0	  0	  0	2024-01-05	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-01	  1	0	0	  0	  0	  0	  0	2024-01-06	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-01	  1	0	0	  0	  0	  0	  0	2024-01-07	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-08	  2	0	0	  0	  0	  0	  0	2024-01-08	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-08	  2	0	0	  0	  0	  0	  0	2024-01-09	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-08	  2	0	0	  0	  0	  0	  0	2024-01-10	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-08	  2	0	0	  0	  0	  0	  0	2024-01-11	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-08	  2	0	0	  0	  0	  0	  0	2024-01-12	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-08	  2	0	0	  0	  0	  0	  0	2024-01-13	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-08	  2	0	0	  0	  0	  0	  0	2024-01-14	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-15	  3	0	0	  0	  0	  0	  0	2024-01-15	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-15	  3	0	0	  0	  0	  0	  0	2024-01-16	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-15	  3	0	0	  0	  0	  0	  0	2024-01-17	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-15	  3	0	0	  0	  0	  0	  0	2024-01-18	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-15	  3	0	0	  0	  0	  0	  0	2024-01-19	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-15	  3	0	0	  0	  0	  0	  0	2024-01-20	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-15	  3	0	0	  0	  0	  0	  0	2024-01-21	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-22	  4	0	0	  0	  0	  0	  0	2024-01-22	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-22	  4	0	0	  0	  0	  0	  0	2024-01-23	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-22	  4	0	0	  0	  0	  0	  0	2024-01-24	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-22	  4	0	0	  0	  0	  0	  0	2024-01-25	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-22	  4	0	0	  0	  0	  0	  0	2024-01-26	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-22	  4	0	0	  0	  0	  0	  0	2024-01-27	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-22	  4	0	0	  0	  0	  0	  0	2024-01-28	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-29	  5	0	0	  0	  0	  0	  0	2024-01-29	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-29	  5	0	0	  0	  0	  0	  0	2024-01-30	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
2024-01-29	  5	0	0	  0	  0	  0	  0	2024-01-31	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000	0.000000	 0.00000	 0.00000
