S01	S02	S03	E01	E02	E03	I01	I02	I03	Y01	Y02	Y03	R01	R02	R03	S11	S12	S13	E11	E12	E13	I11	I12	I13	Y11	Y12	Y13	R11	R12	R13	S21	S22	S23	E21	E22	E23	I21	I22	I23	Y21	Y22	Y23	R21	R22	R23
1	110235.030508092	54882.7778967848	4174.86375646351	1.90206035702807e-17	1.16979287184108e-17	8.28700647726336e-18	2.61978371186227e-17	1.61544602633215e-17	1.10491529421898e-17	2.58458996457412e-17	1.5964267663975e-17	1.06484633307079e-17	637.213110845682	437.516105917597	126.319983031968	43176.3269684088	24078.8657285544	3368.79269560826	2.2389019700837e-18	1.55047965549484e-18	2.02241400786825e-18	9.26773500731623e-19	6.46724598850434e-19	8.15737125913712e-19	9.15506722090697e-19	6.42156266091793e-19	7.91022738488253e-19	65.7659412241273	45.944313220606	13.8845928171938	3974.09334624459	3572.24766181144	1340.44485555422	1.04801811963649e-19	1.18789113890724e-19	4.07900050518833e-19	2.20617633169813e-20	2.55430333391251e-20	8.33553006995181e-20	2.2057446076055e-20	2.58959110175277e-20	8.15693290108276e-20	0.0452470331575405	0.0476662034286608	0.0271136955277564
2	110327.690988788	54943.3517422624	4196.04296331261	3.15538456590621e-18	2.22390466237507e-18	1.38235408223921e-18	4.46533451229735e-18	3.14267970510593e-18	1.88822739793458e-18	3.37910632738001e-18	2.37620585480139e-18	1.40190346595094e-18	544.348848346968	376.792491740545	105.084407499091	43176.3925960692	24078.9134917829	3368.80283698269	3.71166136612394e-19	2.94218718620175e-19	3.35654453807007e-19	1.57881722739927e-19	1.25492493288859e-19	1.3869932224235e-19	1.19599847237718e-19	9.51904610666819e-20	1.03451977643405e-19	55.7837243647537	39.1426455042705	11.3470117959216	3974.1180704477	3572.2798703085	1340.46662914637	1.73940110667948e-20	2.24852406550145e-20	6.77145213820748e-20	3.76655565568675e-21	4.93314047716351e-21	1.41789349791324e-20	2.88050328538818e-21	3.79691174793485e-21	1.06499266810145e-20	0.0293930454723565	0.0309861005133882	0.017392434585182
3	110215.057942233	54912.1603909076	4212.01483224456	7.84342936770228e-16	4.67715730808104e-16	1.20133058628479e-16	1.08986253815643e-15	6.49093237687931e-16	1.62000911051187e-16	1.17526616958916e-15	6.99239670738489e-16	1.70700104047533e-16	656.869695315203	407.845317618025	89.041808525808	43176.4071917819	24078.936399533	3368.82045318302	9.22312653552142e-17	6.16444153725899e-17	2.90003864614942e-17	3.8469136580323e-17	2.57122963095748e-17	1.18047247074869e-17	4.1502149349789e-17	2.77377566679937e-17	1.24996476307733e-17	66.5729672816573	41.7042732873188	9.38931001436953	3974.12159575652	3572.27733401877	1340.45992052759	4.2844890743136e-18	4.63638503180438e-18	5.84126552359324e-18	9.01829650751287e-19	9.79923245161718e-19	1.20291093279345e-18	9.79855344315444e-19	1.06772288249728e-18	1.28478808193281e-18	0.0262328621779017	0.025597454764249	0.0123340340475332
4	110160.248845994	54854.0467344638	4184.34206558664	1.3327163858633e-16	8.10650791426816e-17	3.28990961233244e-17	1.86540439216443e-16	1.13315652030328e-16	4.44381239710042e-17	1.55974998145344e-16	9.46673284339991e-17	3.63715063949577e-17	712.08310283824	466.2619331421	116.812479182454	43176.3463638825	24078.8573589404	3368.76817438409	1.56857252328548e-17	1.0714089103615e-17	8.0043565615601e-18	6.59305703024206e-18	4.5087524954388e-18	3.26793580681041e-18	5.51599071308603e-18	3.77450553300722e-18	2.68707203135781e-18	72.6123231983685	48.1162015298908	12.5054593930463	3974.15341357615	3572.3270439878	1340.49819601137	7.30635949644752e-19	8.1098796714018e-19	1.61373892258138e-18	1.55393321401813e-19	1.73970328780122e-19	3.33621281282197e-19	1.30925799833831e-19	1.47270517741154e-19	2.76345034735647e-19	0.0329792064193429	0.0335543896197579	0.0177178432914852
5	110202.085248302	54903.32884873	4208.25204431605	2.11066982608493e-19	1.14532578132636e-19	2.93303767593678e-20	3.197841661653e-19	1.73503422706379e-19	4.30433784029864e-20	2.08673663793883e-19	1.13209709559716e-19	2.77030800928831e-20	670.123625868936	416.856790027575	92.848100114705	43176.4113180777	24078.9291332335	3368.81021594696	2.48202487921531e-20	1.50986117341436e-20	7.09016885556079e-21	1.12869017639132e-20	6.87482151078252e-21	3.14243615917559e-21	7.36676441981691e-21	4.48939480411438e-21	2.02847646117202e-21	67.415133029017	42.1206368408135	9.52305336521495	3974.10931943877	3572.27167823337	1340.46396205225	1.15298154160039e-21	1.13658799119673e-21	1.42952210281498e-21	2.64589192737163e-22	2.62437122757356e-22	3.20799668141735e-22	1.73374043971818e-22	1.72393968651181e-22	2.08178752758557e-22	0.00771776089622589	0.00744249651845216	0.00355997846034808
6	110186.682053695	54877.0956717405	4195.65403426482	2.29865978952058e-15	1.62040709404157e-15	6.22064149558184e-16	3.1087291389657e-15	2.18609658642233e-15	8.13094405838132e-16	2.73868412820587e-15	1.92268134217679e-15	7.00530520671481e-16	685.545849595825	443.151993681368	105.480736185753	43176.2691696479	24078.8148502107	3368.77416728285	2.70529904907225e-16	2.14020470134561e-16	1.50889406734248e-16	1.09887816974546e-16	8.69058992601702e-17	5.95915552696774e-17	9.68808619106257e-17	7.65952769593944e-17	5.15875720549421e-17	70.2878335955426	46.1401350744538	11.5421308062755	3974.09601463668	3572.26078995301	1340.45989496287	1.26124546326341e-17	1.61806996936094e-17	3.04056250635115e-17	2.59464247847304e-18	3.34584247700614e-18	6.07823791934619e-18	2.30649512519535e-18	2.98305929419872e-18	5.30269973555909e-18	0.0500339616950114	0.0509632328139419	0.0263701938707731
7	110188.565784489	54844.2297916652	4166.14791034969	1.5973539389503e-18	8.18392913772238e-19	1.83414640872408e-19	2.42611117820697e-18	1.24016642077948e-18	2.66709172532553e-19	1.83298295356642e-18	9.35911955167152e-19	1.97192781566577e-19	683.823855225115	476.160452434269	135.045350393312	43176.2905314402	24078.8219396602	3368.76820181281	1.87833783081573e-19	1.07954901114668e-19	4.4764948418036e-20	8.56133616869874e-20	4.91460299369058e-20	1.96475836704462e-20	6.46928625274511e-20	3.71137457882167e-20	1.457161448524e-20	69.4486733227069	48.7660968241885	14.1505788628371	3974.16474899071	3572.33612165332	1340.49924993912	8.71725155591361e-21	8.11300519665569e-21	9.021093498959e-21	2.00288186290253e-21	1.86944143294632e-21	2.00356884007228e-21	1.51948721149425e-21	1.42005044379358e-21	1.49457323430177e-21	0.0138228382166262	0.0139133762785644	0.00721322554260293
8	110370.389620986	54948.7197178085	4177.30484051707	1.88581547061187e-21	1.17488062421869e-21	9.64902475452122e-22	2.91257946224994e-21	1.82043543681087e-21	1.42898100082372e-21	2.81402358080287e-21	1.76194131766084e-21	1.3444924816786e-21	501.699915474559	371.503355809853	123.872609932986	43176.3657606627	24078.916317745	3368.82139731981	2.21833685801013e-22	1.5588394386715e-22	2.35607357759848e-22	1.03026399526271e-22	7.31023619102202e-23	1.05681077347867e-22	9.96871120014949e-23	7.11323046287932e-23	1.00050148214269e-22	51.1448666354341	38.2189690890386	13.0110027537986	3974.00718175612	3572.16534441354	1340.41510120444	1.04291289073772e-23	1.20482331268055e-23	4.75939379252588e-23	2.47341651262798e-24	2.93422072664946e-24	1.08309618388502e-23	2.42447717622415e-24	2.91933475781485e-24	1.03446911507482e-23	0.0113846778617895	0.0121839776826061	0.0071251901461395
9	110140.302389771	54848.6178202495	4187.25602732651	5.41418738687971e-17	3.50800111118371e-17	1.85435035181335e-17	7.44700732079093e-17	4.82490372324324e-17	2.47442826729879e-17	6.08707633482771e-17	3.94338696129576e-17	1.9862296783614e-17	731.971756177234	471.645103022017	113.882507267912	43176.3651394913	24078.8873085205	3368.79246891684	6.37625674033974e-18	4.64324496739492e-18	4.51016377021194e-18	2.63485991723489e-18	1.92530860828701e-18	1.81982071335959e-18	2.15554682970789e-18	1.57808437080498e-18	1.46785250551831e-18	74.8311624614507	48.8923923589172	12.3455319162217	3974.11584220787	3572.28154348895	1340.4682307589	2.97792938864249e-19	3.53191148313861e-19	9.09434624452611e-19	6.24393350240959e-20	7.50125940791244e-20	1.85861392661821e-19	5.15254443241455e-20	6.23416067777176e-20	1.51037495208499e-19	0.040104585085679	0.0415519771508978	0.0227043287350562
10	110247.363041729	54885.9529145961	4173.88777470201	2.83791178273283e-20	1.63705786576971e-20	8.82461685577078e-21	4.31987615145636e-20	2.49449141417206e-20	1.29094146962504e-20	3.59798867007682e-20	2.07858265650237e-20	1.05189232332865e-20	624.91035379537	434.368534010707	127.305079009747	43176.3438726515	24078.8576670887	3368.7731296133	3.33865023243508e-21	2.1665556493017e-21	2.15500158148691e-21	1.52665830274892e-21	9.95698537102812e-22	9.54100308258429e-22	1.27246864077371e-21	8.32056884825799e-22	7.81298169426515e-22	63.5738821727432	44.6127392481627	13.4032545026797	3974.1190116416	3572.28834670032	1340.47684493712	1.55936044425429e-22	1.65244325300895e-22	4.35083531103482e-22	3.61776260026479e-23	3.89791646973398e-23	9.76703730804639e-23	3.0393158541467e-23	3.30224850305184e-23	8.05783448292457e-23	0.0149969233460917	0.0155583411422924	0.00862075114178297
