epiM	epiL	epiU
S01	110245.82399805	110148.903520053	110355.69466821
S02	54895.6785233317	54843.6340809441	54947.8096140644
S03	4185.5710411351	4139.93480466195	4218.45450283302
E01	4.48052660868286e-18	8.23563205718582e-22	1.92900664559288e-14
E02	2.60147643044214e-18	5.51398002360449e-22	1.18473103419171e-14
E03	1.58302317879445e-18	5.27332658374221e-22	4.09113123728685e-15
I01	6.18804395987324e-18	1.25199553514477e-21	2.55355586124092e-14
I02	3.7167999317481e-18	8.46028647451071e-22	1.56849147243618e-14
I03	2.18546556756071e-18	7.94679097726094e-22	5.34234426871042e-15
Y01	5.65050448441735e-18	9.4790810089004e-22	2.60927298946733e-14
Y02	3.3950494728797e-18	6.04807172132244e-22	1.55860594930966e-14
Y03	1.72278548032317e-18	5.37322804930999e-22	5.90756303073834e-15
R01	626.466017642724	516.523140528039	723.100666453536
R02	424.55757325209	372.42395619137	476.649333442644
R03	115.570108172542	82.5669795514599	161.348295286517
S11	43176.3588839862	43176.205435307	43176.4418737637
S12	24078.8783882729	24078.7549416009	24078.9664408143
S13	3368.78862184246	3368.7434592479	3368.82862767435
E11	5.27665432005462e-19	9.70330346920338e-23	2.26984974742819e-15
E12	3.44632413812392e-19	7.34784475185397e-23	1.56542984779313e-15
E13	3.83451826529463e-19	1.28558457929599e-22	9.86869649806e-16
I11	2.19142621159806e-19	4.43979553220851e-23	9.02324923139292e-16
I12	1.48603556420044e-19	3.42347419269702e-23	6.23959040737222e-16
I13	1.59998759964669e-19	5.86277572389698e-23	3.88631557829528e-16
Y11	1.99561876250699e-19	3.36611413130174e-23	9.20733315445991e-16
Y12	1.35879109136228e-19	2.45953770392105e-23	6.21513486413317e-16
Y13	1.2774915593686e-19	3.99792498604798e-23	4.31689978193767e-16
R11	63.5711385339126	53.1128707392631	73.4612104612662
R12	43.6741869374735	38.0792242166516	50.0652439464452
R13	12.3562282711185	8.55878191717987	17.7674709914406
S21	3974.11897939572	3974.03687820201	3974.17503853122
S22	3572.28545953084	3572.20092401673	3572.34664818534
S23	1340.47172869346	1340.43258172066	1340.50245983973
E21	2.47886500314762e-20	4.58732217169718e-24	1.05712533171197e-16
E22	2.63613228498506e-20	5.75010653420772e-24	1.18490126584076e-16
E23	7.73196968238837e-20	2.59614353388903e-23	1.98598084324956e-16
I21	5.25411597077973e-21	1.07773001117014e-24	2.12597868663447e-17
I22	5.8451010234044e-21	1.4058585578341e-24	2.40699511750211e-17
I23	1.63393624958606e-20	6.00409945975867e-24	3.95321323793931e-17
Y21	4.73351031875199e-21	8.2663547793008e-25	2.16320550620841e-17
Y22	5.40464671794818e-21	1.03049610380892e-24	2.42918706315954e-17
Y23	1.31308968170696e-20	4.12777705573395e-24	4.42936523429012e-17
R21	0.0261743363412767	0.00973046294381097	0.0591815539600363
R22	0.0267510974027279	0.00935504636969263	0.0611226185801927
R23	0.0144191481625052	0.00464427091217266	0.0370397836497789
perImmAll	32.3006707779639	32.2405958979383	32.3668592126292
perImm23	35.8020685723879	35.7184294501091	35.9114656267652
perImm3	53.6117418091857	53.2267182565384	54.1450049760397
perImm2	33.8728450463006	33.8053497844462	33.9405195164754
perImm1	30.262270633124	30.1881186543385	30.3275714406355
perRec3	1.41903394585029	1.01083250943935	1.98422220049389
perRec2	0.564405848366615	0.49449754018466	0.634600258372886
perRec1	0.436502033742308	0.360370897122733	0.503510896121719
Ng3	9022.77150946669	9018.90140855464	9028.31807811771
Ng2	83014.9577478045	83009.4417527525	83021.7247961635
Ng1	158086.272941793	158075.806783996	158096.419656996
Imm3	4837.28317935173	4800.48611496069	4888.38327345575
Imm2	28119.6554370835	28061.6321386881	28177.9878922627
Imm1	47840.5160636047	47720.1121157858	47946.5842308806
Rg3	128.036668567541	91.1663870133802	179.141892460161
Rg2	468.543399916617	410.479647665205	526.85613761563
Rg1	690.050089584096	569.659203071035	796.030705723735
Vg3	4709.25887041519	4709.21780138418	4709.30267494122
Vg2	27651.1608853105	27651.0558922103	27651.2447979758
Vg1	47150.4712160016	47150.3468842458	47150.5619963193
