S01	S02	S03	E01	E02	E03	I01	I02	I03	Y01	Y02	Y03	R01	R02	R03	S11	S12	S13	E11	E12	E13	I11	I12	I13	Y11	Y12	Y13	R11	R12	R13	S21	S22	S23	E21	E22	E23	I21	I22	I23	Y21	Y22	Y23	R21	R22	R23
1	109453.797845588	58371.2253624142	1237.71981933175	4.08392423005158e-20	2.60445716142675e-20	7.70922506487763e-22	6.82893769688271e-20	4.35503723198071e-20	1.28497632348694e-21	7.69968941121806e-20	4.91039942589532e-20	1.44621816857267e-21	470.428841708774	346.661263372294	614.309028012521	38299.0045141361	25227.7902908663	7097.06143927532	4.28797328864948e-21	3.3758851939053e-21	1.32700692107671e-21	2.15154053675968e-21	1.69303011210148e-21	6.63983319391077e-22	2.42627559509364e-21	1.90860988726547e-21	7.47613462879566e-22	47.1773169468465	35.1798194149709	68.7010202339958	1777.3849659686	3554.76763546656	3554.6829716492	1.00125517976822e-22	2.39478411798071e-22	3.35341218377054e-22	2.52699801649916e-23	6.04428886788206e-23	8.46232917467819e-23	2.86061624345459e-23	6.84254075133786e-23	9.58139795381534e-23	0.00814848040549997	0.019780398139397	0.148761052949678
2	109540.949273483	58389.3395225082	1346.33952314279	2.05081632421379e-20	1.3287030979449e-20	4.57728193091044e-22	3.43717461297891e-20	2.22737570447042e-20	7.64840312987243e-22	2.83498093989425e-20	1.83735715027984e-20	6.30004867569128e-22	383.148759882019	328.466225934935	505.432943326407	38299.0066707792	25227.7941828056	7097.08455611582	2.1515703964959e-21	1.72172318617371e-21	7.24116914902248e-22	1.08206275469856e-21	8.65627269298995e-22	3.63115140507766e-22	8.92589812192024e-22	7.13963952471942e-22	2.9915089112179e-22	38.3760448523779	33.2313104048523	55.492558443133	1777.41625780458	3554.82981809584	3554.77467816399	5.02414125005148e-23	1.22139645954686e-22	1.82995526986638e-22	1.27094387679472e-23	3.09052488298353e-23	4.62808809565e-23	1.05138158393818e-23	2.55698014755409e-23	3.82859616869401e-23	0.00505713898629418	0.0142116466653998	0.0982955340430246
3	109359.065784303	58322.8291645182	1478.35549831065	1.22268233801064e-16	7.79722562371612e-17	1.82352995888984e-18	1.81154027806827e-16	1.15521596619269e-16	2.69446221309667e-18	2.05095155536184e-16	1.30787459241372e-16	3.04482413447886e-18	565.072776777156	394.940771805243	373.055856067349	38299.0328406363	25227.8475573216	7097.15625176016	1.28485221576803e-17	1.01154623011283e-17	2.62638342759857e-18	5.712115472621e-18	4.4949133836873e-18	1.16428277308559e-18	6.46806274770178e-18	5.08801460856332e-18	1.31571873440701e-18	56.6387053083138	39.9436068754387	40.0007330818182	1777.38082754773	3554.75970814795	3554.73011499487	2.99809740739228e-19	7.1702811880006e-19	6.6304041629688e-19	6.70029725184459e-20	1.60247305598682e-19	1.48107965990538e-19	7.61686909272608e-20	1.82171954101343e-19	1.68327364216063e-19	0.00796329897320128	0.0188708109536524	0.0639765635835439
4	109366.930996967	58298.3722007576	1321.28195640236	1.1084062572207e-17	6.31774013807699e-18	1.50868602836351e-19	1.69898506292624e-17	9.68531129732968e-18	2.3054343751145e-19	1.49732985314912e-17	8.53656833346689e-18	2.02848374741307e-19	557.438383406209	419.587090160427	530.562519155203	38299.0393040999	25227.8601854958	7097.15304204049	1.16469010981713e-18	8.19947603436944e-19	2.43207043079642e-19	5.35690314626217e-19	3.77005514198018e-19	1.1153638024885e-19	4.72167183204658e-19	3.32244328955971e-19	9.81586046006092e-20	55.8605083415529	42.4371322746385	57.7941331393818	1777.38084736525	3554.75934199849	3554.70961200752	2.71821425126434e-20	5.81332943416474e-20	6.1414680772937e-20	6.28582888125514e-21	1.3445708188833e-20	1.41956347685291e-20	5.55751018031981e-21	1.18892242511742e-20	1.25488073665644e-20	0.00769568103829728	0.0189600321810861	0.094761858312856
5	109352.897796848	58329.3397113628	1456.5378806523	2.4352119861234e-20	1.34860800891346e-20	3.24558029183669e-22	3.99567451614577e-20	2.21274880178559e-20	5.30907636102889e-22	2.69550390765311e-20	1.4927294815834e-20	3.57725037375216e-22	571.462176508017	388.525835580458	394.949945895914	38299.0454612688	25227.8738366892	7097.19287952245	2.55923752082437e-21	1.74932988385743e-21	4.74481022312399e-22	1.26003959030461e-21	8.60839176661546e-22	2.32866724684783e-22	8.50110961209728e-22	5.80664474390582e-22	1.56911341638861e-22	57.1777057330229	39.0312755353304	40.9055830262733	1777.39135339376	3554.78242011164	3554.77381150985	5.97527002705191e-23	1.24079370755527e-22	1.19885477340302e-22	1.47964057202751e-23	3.07263177865587e-23	2.96698545248281e-23	1.00062128919595e-23	2.07792973105686e-23	2.0060592830928e-23	0.00244784664583143	0.00533262397236384	0.0185150929468041
6	109374.362685595	58294.7738261201	1386.80368439957	1.3606225901781e-16	1.05911332458053e-16	2.49001327562016e-18	2.0253103163671e-16	1.57646739028388e-16	3.69516545374584e-18	1.89570937141868e-16	1.47557359874332e-16	3.45257468874464e-18	549.892451193174	423.168801177253	464.907672669936	38299.0173337291	25227.8143358956	7097.09798420676	1.42960704638745e-17	1.3746624035198e-17	3.82373174612161e-18	6.38528747535325e-18	6.13692504338298e-18	1.70270411146206e-18	5.97747782344266e-18	5.74331789258807e-18	1.59114132199113e-18	55.174775859499	43.0337281610371	52.0667550522691	1777.36117505787	3554.71616075601	3554.64450217722	3.33591986709859e-19	9.74436982426811e-19	9.65334237245531e-19	7.49020937808604e-20	2.18795545531109e-19	2.16611729770266e-19	7.03482230004061e-20	2.05496363553369e-19	2.03381336547139e-19	0.011580339585405	0.0325115589443155	0.141612014330096
7	109465.470853555	58330.3719502907	1206.84112254479	1.43352158533559e-18	6.07277800696221e-19	6.78198880655773e-21	2.22478830713164e-18	9.43159906913211e-19	1.04927273227123e-20	1.69855444728684e-18	7.20341203447157e-19	7.99927567721091e-21	458.827505210249	387.642220913069	645.256853046765	38299.007226982	25227.7960221342	7097.10063316331	1.50496084634147e-19	7.87717854464546e-20	1.19732621171268e-20	7.00847800576204e-20	3.66924815349341e-20	5.56112997208572e-21	5.35132373290849e-20	2.80206152490915e-20	4.24101284629515e-21	45.8951816630192	38.982330801221	68.3837199848352	1777.37937817821	3554.7580409185	3554.738830528	3.51261196099831e-21	5.58530126588238e-21	3.02386261511197e-21	8.22495126977882e-22	1.30883109156428e-21	7.0794251942375e-22	6.29699399572998e-22	1.00243215395204e-21	5.4198692140764e-22	0.00312033005516533	0.00733210905790199	0.03677241006786
8	109624.327003096	58477.7990424666	1218.65560591182	5.19565912467082e-23	3.1272357170039e-23	5.87871014176896e-25	9.33983312382291e-23	5.62329382605878e-23	1.05375227446572e-24	9.88325497426594e-23	5.9516592189989e-23	1.11356444680065e-24	299.647123275226	239.912232227752	633.254429355229	38298.9924327006	25227.7666483156	7097.06933876675	5.44685811262628e-24	4.04602953917007e-24	1.02786009335122e-24	2.93815669719183e-24	2.18200190190733e-24	5.53138729751286e-25	3.10958596087193e-24	2.30906231854868e-24	5.84782090440231e-25	29.9518383982336	24.0950714842251	67.1297706026412	1777.41010205636	3554.81975920796	3554.7971900728	1.27244885458064e-25	2.87163152021723e-25	2.59923434693395e-25	3.45380239869385e-26	7.79720803359296e-26	7.05847137535599e-26	3.66836619074471e-26	8.28347604741482e-26	7.50107345603854e-26	0.00149239887713133	0.00366302023630264	0.0381937945967693
9	109325.659461491	58277.2203490207	1342.09657178681	1.41698761904783e-19	9.5356660832881e-20	3.92304518125913e-21	2.32924114695982e-19	1.56740966678306e-19	6.42822798307619e-21	2.10662901028832e-19	1.41758596712415e-19	5.80471687365509e-21	598.704953303935	440.736531109646	509.685796447133	38299.0104485325	25227.8023715271	7097.08612210503	1.48952502135653e-20	1.23800977959051e-20	6.22582606422841e-21	7.34710970989584e-21	6.10322890707339e-21	3.06153649031161e-21	6.64578418958887e-21	5.51908107039549e-21	2.76510381967972e-21	60.0379611783923	44.6667279921697	56.5277577720007	1777.40087311325	3554.79850843153	3554.72964607035	3.4777660863188e-22	8.78128839155805e-22	1.57307876891609e-21	8.62769631829731e-23	2.17848755136385e-22	3.90081897506962e-22	7.82849797207454e-23	1.97670660938891e-22	3.53909790583095e-22	0.00856059997269673	0.0220306895821716	0.126870007524879
10	109484.130414326	58380.71235272	1230.03994093343	1.32311250799729e-21	7.0445799504157e-22	1.50780930654542e-23	2.28034822696176e-21	1.21436139076446e-21	2.58982448520009e-23	2.02728912608145e-21	1.07972921164661e-21	2.29878790189246e-23	440.07452662884	337.120748268075	621.918255212476	38299.0204420235	25227.8230666225	7097.12492916931	1.38884586182351e-22	9.12960185607884e-23	2.61176648152822e-23	7.18263629558986e-23	4.72002752680772e-23	1.34671204632228e-23	6.38636473882766e-23	4.19617394422805e-23	1.19578142521342e-23	44.0236338885473	33.9205812613686	66.2514290132802	1777.41168283663	3554.82276428136	3554.79697414728	3.24364097675529e-24	6.47775192189513e-24	6.60195779406237e-24	8.43902752417398e-25	1.68574969026595e-24	1.71723444422848e-24	7.52631120234198e-25	1.50364528058296e-24	1.53152389243293e-24	0.0028662241195373	0.00664957199521446	0.0461030588629921
11	109446.408744633	58394.2406417572	1197.54065254508	6.48204913057493e-19	4.13501733435282e-19	5.68623607616622e-21	1.03163071566956e-18	6.58120508721037e-19	9.01708296261638e-21	1.12141073672332e-18	7.15422640631576e-19	9.78009202653526e-21	477.818134778926	323.587487014491	654.493782074065	38299.0064989679	25227.7953570193	7097.0773662702	6.80630221770628e-20	5.35774882850064e-20	1.01171592512238e-20	3.25042193673948e-20	2.55750661975443e-20	4.81656937993711e-21	3.53384602610322e-20	2.77972866580576e-20	5.22666568597213e-21	47.8995716964064	32.7856062066626	72.0087896919583	1777.4011475115	3554.80101791751	3554.7397931429	1.58884639493442e-21	3.79951029810991e-21	2.55561368883185e-21	3.81562264483366e-22	9.12527547281498e-22	6.1338482506803e-22	4.16385124701377e-22	9.95874977002719e-22	6.69227492600544e-22	0.00746976999253482	0.016873403935594	0.110308121590801
12	109351.034603568	58332.6233336558	1331.64304363797	4.16964920014211e-19	2.65538121093017e-19	6.10221219116819e-21	6.66557943896931e-19	4.24470466160852e-19	9.72508388090456e-21	7.7689899118199e-19	4.94725760378893e-19	1.13128365183148e-20	573.152896863139	385.174214862424	519.975776194526	38299.020577031	25227.8238309059	7097.1234358496	4.38205495960453e-20	3.44421794923036e-20	9.76036488542905e-21	2.10200350707111e-20	1.65126738076177e-20	4.66824568107782e-21	2.45037635224685e-20	1.92423708640112e-20	5.43180981307592e-21	57.4231507585687	38.8854710890754	55.9320204191972	1777.3857510959	3554.77037744351	3554.7329366601	1.02295334484939e-21	2.44255151568265e-21	2.4655620086884e-21	2.46760950350903e-22	5.89203274195087e-22	5.94534941985292e-22	2.8880675236651e-22	6.89603464139792e-22	6.9579668178213e-22	0.00583352296979598	0.0133714610217776	0.0704750013369569
13	109386.728634921	58341.3921433729	1593.7043853765	1.89360447586246e-16	1.0382118969128e-16	2.64521460806534e-18	2.77525542002232e-16	1.52155782167973e-16	3.86724973929272e-18	2.41493908188835e-16	1.32400055022921e-16	3.36048165223025e-18	537.59226563214	376.534805745971	257.718806071219	38298.9845368027	25227.7516783357	7097.07427605454	1.98937850717941e-17	1.3464582255578e-17	3.53334215353958e-18	8.74861843656772e-18	5.91845926211531e-18	1.54947094751759e-18	7.6137003818729e-18	5.14930104509494e-18	1.3463099964004e-18	53.8386020751281	37.9689855862456	26.8722188959667	1777.40673555507	3554.81279651581	3554.80233846822	4.64185514174635e-19	9.54385611985836e-19	8.91959469652961e-19	1.02611548604005e-19	2.10976771799295e-19	1.97082741216965e-19	8.95737558566492e-20	1.84172877027795e-19	1.72001917099117e-19	0.00590448591858415	0.01283313049141	0.0288063655995204
14	109435.016638435	58402.7195210281	1220.07910839235	9.62328846010976e-18	5.32614025304909e-18	5.13497053326135e-20	1.46744601758538e-17	8.12302204099237e-18	7.80327346164823e-20	1.40041350572422e-17	7.75282631754524e-18	7.43184880633254e-20	489.268164528967	315.103817638124	631.90305200981	38299.0355292008	25227.8535107333	7097.14991182209	1.01056440933211e-18	6.90017872364319e-19	8.96678202828413e-20	4.62396781182654e-19	3.15627728364742e-19	4.09047283720129e-20	4.41334190415145e-19	3.0119851550075e-19	3.89729054964804e-20	49.0065117086934	31.8155034940489	67.9401460845326	1777.3859611754	3554.77148015925	3554.73635499102	2.35844753109123e-20	4.89200958131829e-20	2.26421613884882e-20	5.42552595609333e-21	1.12560911885443e-20	5.20572009709628e-21	5.19562434073009e-21	1.07805949987451e-20	4.98381155401225e-21	0.00596477347431698	0.0125997649158261	0.0662822796367008
15	109388.315010758	58374.7437845382	1312.80908245436	3.33041663582935e-16	2.4866808572968e-16	2.70781741579825e-18	4.88482388735992e-16	3.64735460234878e-16	3.95917719287633e-18	4.66697212210575e-16	3.48476182915763e-16	3.77546611674843e-18	535.976502855228	343.095553994975	539.041077940062	38299.0232919397	25227.8282476143	7097.1054066991	3.49881450837411e-17	3.22314494184095e-17	4.39328426904285e-18	1.53985450747352e-17	1.41791731405288e-17	1.92780681671333e-18	1.47137861699252e-17	1.35450466075766e-17	1.83880546250411e-18	53.772675942897	34.8673916547095	60.2529901260396	1777.38808655843	3554.77333284258	3554.69501225411	8.16379108518864e-19	2.28458207106647e-18	1.10901080856671e-18	1.80607032446619e-19	5.0544562365261e-19	2.45198676005459e-19	1.7315384006236e-19	4.84609164374923e-19	2.35014602715764e-19	0.0115733376203039	0.0274250677499713	0.146752027704272
16	109373.773255038	58379.0739266669	1346.54261506854	5.85364232101562e-18	3.78014220299122e-18	4.51845742419585e-20	8.99371264153425e-18	5.80805750575653e-18	6.92042712460669e-20	8.44247530899128e-18	5.45220023753724e-18	6.48470672201488e-20	550.489555644719	338.738488817779	505.122480455763	38299.0054905068	25227.793587378	7097.09466077969	6.15049788512747e-19	4.89925411703867e-19	7.14682842855486e-20	2.83554267916215e-19	2.25767782022863e-19	3.2848622041524e-20	2.66210237370654e-19	2.11904057949378e-19	3.07863386832495e-20	55.149542985252	34.2128480590228	54.3494476032185	1777.39876031576	3554.79668309124	3554.76182579603	1.43547117254221e-20	3.47360884429248e-20	1.80479466515873e-20	3.32737513670612e-21	8.05222997559681e-21	4.1810171240301e-21	3.13407692899469e-21	7.58481128573423e-21	3.93713297860773e-21	0.006258261867531	0.0137817873967486	0.0670178958565402
