epiM	epiL	epiU
S01	109442.602166784	109314.250769538	109679.057855001
S02	58379.3532223153	58291.8602214204	58495.2130611065
S03	1296.77676708451	1029.07330377912	1527.10257450657
E01	1.7735095949505e-19	7.94792749270215e-24	5.15334388074203e-15
E02	1.04875393041867e-19	5.57848675451895e-24	2.82414673462105e-15
E03	2.52006511740789e-21	9.30724196560022e-26	6.33726115875793e-17
I01	2.84607396503486e-19	1.49032051267225e-23	7.27517825278433e-15
I02	1.69932493761937e-19	1.04231669855276e-23	3.99924375196951e-15
I03	4.0382281179361e-21	1.73229175909871e-25	8.92337939284026e-17
Y01	2.75631751612731e-19	1.15083194925139e-23	8.16758617055414e-15
Y02	1.65879121621489e-19	7.92214863627606e-24	4.4386744475533e-15
Y03	4.0919451813198e-21	1.31289485352184e-25	1.00777888939447e-16
R01	481.55453132802	244.844092413438	610.09922088304
R02	338.472007125404	222.515987314868	426.097866825847
R03	555.044582334277	324.225205799539	823.378153363029
S11	38299.0154705884	38298.9685549282	38299.0645368285
S12	25227.8132827024	25227.719162293	25227.9117060628
S13	7097.1033411155	7097.00638177883	7097.20335892914
E11	1.86156832186383e-20	8.34089907951201e-25	5.41587524528487e-16
E12	1.35990024764614e-20	7.22842970561665e-25	3.66606440491573e-16
E13	3.93201248211445e-21	1.96820861336249e-25	8.91016006518681e-17
I11	8.97140410032737e-21	4.69326643247413e-25	2.29418267403931e-16
I12	6.60868472105361e-21	4.05060925547738e-25	1.55706597785918e-16
I13	1.90412997596172e-21	1.10027471229754e-25	3.76395703723451e-17
Y11	8.67988086525809e-21	3.62517005364993e-25	2.57602857063685e-16
Y12	6.44580748578996e-21	3.07830384044439e-25	1.72760470819025e-16
Y13	2.03806079284007e-21	8.30569638880825e-26	4.25979058567117e-17
R11	48.2295615628734	24.4948630002479	61.2011835076147
R12	34.2012263634475	22.4969742361321	43.0330383383075
R13	60.2692598861877	33.9384797902788	92.308759096712
S21	1777.38864424048	1777.35039229578	1777.42120246466
S22	3554.77515044651	3554.70013785654	3554.84026239481
S23	3554.72949277491	3554.64527742309	3554.81725183754
E21	4.34573945963289e-22	1.94902532417507e-26	1.26342103047719e-17
E22	9.64486575404481e-22	5.13161246958665e-26	2.59797141457243e-17
E23	9.93381378711231e-22	4.97875632409786e-26	2.24856888143849e-17
I21	1.05326681902523e-22	5.51952219072084e-27	2.68977027444678e-18
I22	2.35847882417781e-22	1.44813079152443e-26	5.5483173226233e-18
I23	2.42556501554615e-22	1.40488835854553e-26	4.78477976987974e-18
Y21	1.02274242576324e-22	4.27446941898491e-27	3.03212047797008e-18
Y22	2.30805689216931e-22	1.10365612398299e-26	6.18231093750343e-18
Y23	2.61026415718711e-22	1.06447326512208e-26	5.44734081981329e-18
R21	0.00504759286230676	0.00149509402635959	0.0140014641931085
R22	0.0128170818018396	0.00375974046843438	0.0333193861705497
R23	0.0766660805196087	0.0233636689782239	0.191811929469036
perImmAll	32.3866850059496	32.3097885098338	32.4676301981987
perImm23	40.3777199296791	40.1991189621756	40.6232674828545
perImm3	89.6793332295225	87.8191533585172	91.8304665473789
perImm2	33.3071711639723	33.1657892758912	33.4138755420908
perImm1	27.0619901082308	26.8927155148657	27.1539261910428
perRec3	4.8976809332283	2.85489813052126	7.26814979537128
perRec2	0.425826248717913	0.279952747787135	0.535870539580454
perRec1	0.3530779684312	0.179531247239289	0.447356531232507
Ng3	12564.0396109123	12537.2345030797	12596.779151316
Ng2	87534.7195512571	87522.8453646088	87543.5887047568
Ng1	150048.791199091	150024.800733525	150061.966354491
Imm3	11267.1182755371	11009.8155617416	11567.4047606721
Imm2	29155.3251547405	29027.6475028465	29251.6943806372
Imm1	40606.189032307	40345.7428785235	40747.7155849528
Rg3	615.287762597766	357.916465633731	915.531239077608
Rg2	372.745637137175	245.02265306073	469.120119243044
Rg1	529.789224105243	269.341411862546	671.312007630823
Vg3	10651.8422258172	10651.708415239	10651.9386088038
Vg2	28782.5945379617	28782.5032528067	28782.6588779463
Vg1	40076.40685257	40076.3613556868	40076.4383804256
