S01	S02	S03	E01	E02	E03	I01	I02	I03	Y01	Y02	Y03	R01	R02	R03	S11	S12	S13	E11	E12	E13	I11	I12	I13	Y11	Y12	Y13	R11	R12	R13	S21	S22	S23	E21	E22	E23	I21	I22	I23	Y21	Y22	Y23	R21	R22	R23
1	110402.215008311	55681.5158018092	5333.24520090538	0	0	0	0	0	0	0	0	0	707.326776275216	403.406297045206	58.7541370058717	45240.1648416943	23920.5529054296	2708.94026242576	0	0	0	0	0	0	0	0	0	73.6762519828963	42.3200208550777	6.29810742617198	3214.00212335593	1996.47263452045	341.20024968632	0	0	0	0	0	0	0	0	0	0.0645169704393851	0.0431804597471351	0.00917535239882789
2	110504.268925983	55739.7038651278	5342.31908461275	0	0	0	0	0	0	0	0	0	604.728856097216	344.900577553638	49.6284542980114	45240.2525639571	23920.6049914897	2708.94820939055	0	0	0	0	0	0	0	0	0	62.4271327361731	35.8082360811936	5.24528849164874	3214.02819448884	1996.49128949879	341.204692280464	0	0	0	0	0	0	0	0	0	0.0418448112644433	0.0279749414767726	0.00590809322884546
3	110414.980248808	55704.1938529128	5342.91693155098	0	0	0	0	0	0	0	0	0	694.064307119211	380.372449703647	49.0008565181181	45240.2797069406	23920.6247307603	2708.95300212964	0	0	0	0	0	0	0	0	0	70.647315173667	38.8589031668757	5.06821042881523	3214.02752460595	1996.4894433592	341.203635204739	0	0	0	0	0	0	0	0	0	0.0352488840720862	0.0228026078480858	0.00442670452183483
4	110338.681440489	55653.8745483382	5333.063067293	0	0	0	0	0	0	0	0	0	771.070458062516	431.123881841459	58.9281433374182	45240.2017204452	23920.569957866	2708.94047615543	0	0	0	0	0	0	0	0	0	79.1083342724077	44.4506110953717	6.173825310763	3214.06591127085	1996.51839531781	341.211139031991	0	0	0	0	0	0	0	0	0	0.0457430030647355	0.0301443337445681	0.00615008577546604
5	110400.233543562	55695.5709569278	5341.43931481978	0	0	0	0	0	0	0	0	0	709.142496280334	389.178554040619	50.5031278131281	45240.2719858921	23920.6170548377	2708.95052544533	0	0	0	0	0	0	0	0	0	71.4926091007601	39.3058561995902	5.13164903103743	3214.02107971887	1996.48686901329	341.203976837234	0	0	0	0	0	0	0	0	0	0.0103038944317543	0.00664198172993277	0.00128241659590094
6	110372.403981247	55675.1227775242	5337.13952596491	0	0	0	0	0	0	0	0	0	737.15183138512	409.761454727489	54.832707462552	45240.0976531466	23920.5129589991	2708.93429681955	0	0	0	0	0	0	0	0	0	76.1706671042565	42.6125621787633	5.82398469888634	3214.0107444142	1996.48060083003	341.202925878192	0	0	0	0	0	0	0	0	0	0.0692488032930226	0.045561582373273	0.00920995567204906
7	110347.720699037	55649.3435596221	5328.83132269739	0	0	0	0	0	0	0	0	0	762.088742623555	435.725825925164	63.1834174988609	45240.1495822462	23920.5428381889	2708.93839919394	0	0	0	0	0	0	0	0	0	77.7446274989617	44.6050341262282	6.53730052727518	3214.07411890975	1996.52308003028	341.211657361673	0	0	0	0	0	0	0	0	0	0.0190262232302568	0.0124840881847648	0.00252070341703791
8	110530.603062058	55745.3418537063	5338.79831825628	0	0	0	0	0	0	0	0	0	578.39736921623	339.303955008374	53.172717411124	45240.186875461	23920.5713720291	2708.94555570142	0	0	0	0	0	0	0	0	0	59.2635787866022	34.8949051096033	5.52607880111717	3213.930780404	1996.42776157083	341.192625183173	0	0	0	0	0	0	0	0	0	0.0164301645657971	0.0110682204680324	0.00238886685970585
9	110322.954828412	55647.6691576568	5333.19475535482	0	0	0	0	0	0	0	0	0	786.777366423171	437.309402034593	58.7904516919327	45240.2167657858	23920.5826807726	2708.94435767378	0	0	0	0	0	0	0	0	0	81.0031791394586	45.2848095054678	6.20538189006024	3214.02805264443	1996.49182254352	341.204954873655	0	0	0	0	0	0	0	0	0	0.0563882155076386	0.0374439019604144	0.00778630688158094
10	110412.104839662	55685.5672136189	5333.35033260356	0	0	0	0	0	0	0	0	0	697.411835928691	399.342985135237	58.6472835342202	45240.1837194067	23920.5591330228	2708.93903722987	0	0	0	0	0	0	0	0	0	71.3104095533813	40.9928401730465	6.09140456586588	3214.0335169657	1996.49643536863	341.2064891247	0	0	0	0	0	0	0	0	0	0.0211411034383839	0.014061576000252	0.00294384215168206
