xt	datex25	pImm1M	pImm1L	pImm1U	pImm2M	pImm2L	pImm2U	pImm3M	pImm3L	pImm3U
1	0	2024-01-01	30.262270633124	30.1881186543385	30.3275714406355	33.8728450463006	33.8053497844462	33.9405195164754	53.6117418091857	53.2267182565384	54.1450049760397
2	1	2024-01-02	30.2652886675173	30.1911605665621	30.3305125458115	33.8691656971572	33.8016708077897	33.9368406229232	53.5507963465974	53.1667488457271	54.0826985619345
3	2	2024-01-03	30.2682965395169	30.1941922746868	30.333443622823	33.8654830061579	33.7979886257886	33.933158286158	53.4900076744264	53.106933717454	54.020552418891
4	3	2024-01-04	30.2712942670288	30.1972137966817	30.3363676060559	33.8617970138874	33.7943032781907	33.9294725473691	53.4293754289214	53.0472725132671	53.9585661758889
5	4	2024-01-05	30.2742818659517	30.2002251485017	30.3393007144527	33.8581077557669	33.7906147996899	33.9257834425027	53.3688993209286	52.9877649480499	53.8967395382601
6	5	2024-01-06	30.2772593568518	30.2032263507846	30.3422238071208	33.8544152785941	33.7869232361121	33.9220910190587	53.308578888182	52.9284105665179	53.8350720341278
7	6	2024-01-07	30.2802267569397	30.2062174208017	30.3451369012068	33.85071962063	33.7832286249283	33.9183953158683	53.24841379328	52.8692090361358	53.7735633194216
8	7	2024-01-08	30.2831840840823	30.2091983764828	30.3480400145113	33.8470208215859	33.7795310050285	33.9146963732367	53.1884036744621	52.8101600004276	53.7122130251303
9	8	2024-01-09	30.2861313561335	30.212169235745	30.3509331648217	33.84331892097	33.7758304151024	33.9109942312627	53.1285481704	52.7512631033471	53.651020782677
10	9	2024-01-10	30.2890685909347	30.2151300164923	30.3538163699119	33.8396139580434	33.7721268935976	33.9072889297954	53.0688469205845	52.6925179896578	53.5899862243169
11	10	2024-01-11	30.2919958063143	30.2180807366162	30.3566896475427	33.835905971871	33.768420478769	33.9035805084849	53.0092995648939	52.6339243045088	53.5291089826941
12	11	2024-01-12	30.2949130200878	30.2210214139952	30.3595530154615	33.8321950013038	33.7647112086609	33.8998690067649	52.9499057437569	52.575481693595	53.4683886910097
13	12	2024-01-13	30.2978202500577	30.2239520664948	30.3624064914019	33.8284810849784	33.7609991211075	33.8961544638518	52.8906650981675	52.5171898031716	53.4078249830357
14	13	2024-01-14	30.3007175140134	30.2268727119673	30.3652500930841	33.8247642613191	33.7572842537342	33.892436918747	52.8315772696719	52.4590482800415	53.3474174931029
15	14	2024-01-15	30.3036048297308	30.2297833682518	30.3680838382145	33.8210445685393	33.7535666439593	33.8887164102386	52.7726419003695	52.4010567715556	53.2871658561011
16	15	2024-01-16	30.3064822149729	30.2326840531741	30.3709077444856	33.8173220446423	33.7498463289948	33.8849929769016	52.7138586329138	52.3432149256142	53.2270697074803
17	16	2024-01-17	30.309349687489	30.2355747845465	30.3737218295761	33.813596727422	33.7461233458469	33.8812666570989	52.6552271105132	52.2855223906677	53.1671286832519
18	17	2024-01-18	30.3122072650147	30.2384555801679	30.3765261111505	33.809868654464	33.7423977313174	33.8775374889829	52.5967469769319	52.2279788157175	53.1073424199889
19	18	2024-01-19	30.3150549652725	30.2413264578235	30.3793206068595	33.8061378631466	33.7386695220043	33.8738055104957	52.5384178764906	52.1705838503163	53.0477105548275
20	19	2024-01-20	30.3178928059707	30.2441874352848	30.3821053343395	33.8024043906417	33.7349387543029	33.8700707593702	52.4802394540675	52.1133371445694	52.9882327254675
21	20	2024-01-21	30.3207208048041	30.2470385303096	30.3848803112124	33.7986682739154	33.7312054644065	33.8663332731314	52.4222113550986	52.0562383491351	52.9289085701731
22	21	2024-01-22	30.3235389794535	30.2498797606417	30.3876455550862	33.7949295497293	33.7274696883076	33.8625930890969	52.3643332255792	51.9992871152256	52.8697377277742
23	22	2024-01-23	30.3263473475857	30.2527111440109	30.390401083554	33.7911882546415	33.7237314617982	33.8588502443781	52.3066047120641	51.9424830946079	52.8107198376663
24	23	2024-01-24	30.3291459268534	30.2555326981331	30.3931469141947	33.7874444250069	33.7199908204717	33.8551047758807	52.2490254616683	51.8858259396038	52.7518545398125
25	24	2024-01-25	30.3319347348953	30.25834444071	30.3958830645725	33.7836980969787	33.7162477997225	33.8513567203063	52.1915951220684	51.8293153030917	52.6931414747433
26	25	2024-01-26	30.3347137893357	30.2611463894288	30.3986095522366	33.7799493065089	33.7125024347481	33.8476061141527	52.1343133415026	51.7729508385063	52.6345802835579
27	26	2024-01-27	30.3374831077846	30.2639385619627	30.401326394722	33.7761980893497	33.7087547605491	33.8438529937149	52.0771797687718	51.7167321998398	52.5761706079245
28	27	2024-01-28	30.3402427078376	30.2667209759703	30.4040336095483	33.7724444810537	33.7050048119307	33.8400973950863	52.0201940532401	51.6606590416425	52.5179120900818
29	28	2024-01-29	30.3429926070758	30.2694936490956	30.4067312142205	33.7686885169753	33.7012526235029	33.8363393541595	51.9633558448357	51.6047310190235	52.4598043728391
30	29	2024-01-30	30.3457328230658	30.2722565989684	30.4094192262284	33.7649302322714	33.6974982296821	33.8325789066267	51.9066647940514	51.5489477876509	52.401847099577
31	30	2024-01-31	30.3484633733592	30.2750098432033	30.4120976630467	33.7611696619024	33.6937416646915	33.8288160879815	51.8501205519454	51.4933090037533	52.3440399142487
32	31	2024-02-01	30.3511842754932	30.2777533994005	30.4147665421349	33.7574068406329	33.689982962562	33.825050933519	51.7937227701419	51.4378143241195	52.28638246138
33	32	2024-02-02	30.35389554699	30.2804872851453	30.4174258809375	33.7536418030326	33.6862221571333	33.8212834783369	51.7374711008316	51.3824634060996	52.2288743860706
34	33	2024-02-03	30.3565972053569	30.2832115180079	30.4200756968832	33.7498745834774	33.6824592820544	33.8175137573367	51.6813651967727	51.3272559076059	52.1715153339943
35	34	2024-02-04	30.3592892680861	30.2859261155436	30.4227160073856	33.7461052161499	33.6786943707849	33.8137418052242	51.6254047112912	51.2721914871126	52.1143049514001
36	35	2024-02-05	30.3619717526549	30.2886310952926	30.4253468298427	33.7423337350407	33.6749274565953	33.8099676565104	51.5695842965325	51.2172698036571	52.0572428851123
37	36	2024-02-06	30.3646446765253	30.29132647478	30.4279681816369	33.7385601739487	33.6711585725685	33.8061913455126	51.5138238363822	51.1624905168406	52.0003287825317
38	37	2024-02-07	30.3672858604475	30.2940122715156	30.430580080135	33.7347845664826	33.6673877515998	33.8024129063552	51.4582079792292	51.107853286828	51.9435622916359
39	38	2024-02-08	30.3699066570454	30.2966885029937	30.433182542688	33.7310069460613	33.6636150263987	33.7986323729703	51.4027363802534	51.0533577743493	51.8869430609802
40	39	2024-02-09	30.3725180045319	30.2993551866933	30.4357755866312	33.7272273459147	33.659840429489	33.7948497790989	51.3474086952056	50.9990036406993	51.8304707396977
41	40	2024-02-10	30.375119920268	30.3020123400781	30.4383592292839	33.723445799085	33.6560639932099	33.7910651582915	51.2922245804084	50.9447905477387	51.7741449775004
42	41	2024-02-11	30.3777124215991	30.304659980596	30.4409334879495	33.7196623384271	33.6522857497169	33.7872785439092	51.2371836927562	50.8907181578945	51.7179654246797
43	42	2024-02-12	30.3802955258544	30.3072981256792	30.4434983799155	33.7158769966097	33.6485057309825	33.7834899691244	51.1822856897163	50.8367861341605	51.6619317321067
44	43	2024-02-13	30.3828692503472	30.3099267927444	30.446053922453	33.7120873226381	33.6447239687971	33.7796994669215	51.1275302293292	50.7829941400974	51.606043551233
45	44	2024-02-14	30.3854336123745	30.3125459991923	30.4486001328172	33.7082836457795	33.6409404947697	33.7759070700982	51.0729169702089	50.7293418398338	51.5503005340912
46	45	2024-02-15	30.3879886292172	30.315155762408	30.451137028247	33.7044782969057	33.6371553403288	33.7721128112656	51.0184455715437	50.6758288980667	51.4947023332955
47	46	2024-02-16	30.3905343181399	30.3177560997603	30.4536646259649	33.7006713073821	33.6333685367234	33.76831672285	50.9641156930965	50.6224549800613	51.4392486020421
48	47	2024-02-17	30.3930706963909	30.3203470286022	30.4561829431771	33.6968627083939	33.6295801150234	33.7645188370929	50.9099269952055	50.5692197516523	51.3839389941096
49	48	2024-02-18	30.395597781202	30.3229285662706	30.4586919970734	33.6930525309478	33.6257901061208	33.7607191860521	50.8558791387845	50.5161228792437	51.3287731638601
