S01	S02	S03	E01	E02	E03	I01	I02	I03	Y01	Y02	Y03	R01	R02	R03	S11	S12	S13	E11	E12	E13	I11	I12	I13	Y11	Y12	Y13	R11	R12	R13	S21	S22	S23	E21	E22	E23	I21	I22	I23	Y21	Y22	Y23	R21	R22	R23
1	109353.991561397	54828.3022046456	5077.81196042567	0	0	0	0	0	0	0	0	0	715.138354927002	392.750078108686	50.0573548450709	46003.3360522538	24175.1331960959	2703.83078988554	0	0	0	0	0	0	0	0	0	74.596158528427	41.1666288265637	5.32469548190625	3722.09376911681	2455.6682269132	530.890740670593	0	0	0	0	0	0	0	0	0	0.0674904260497579	0.0412948823631073	0.00693408134843749
2	109457.131881818	54885.057149284	5085.3676596377	0	0	0	0	0	0	0	0	0	611.326382765689	335.619999894292	42.4500400971146	46003.4297336339	24175.186314555	2703.83796613772	0	0	0	0	0	0	0	0	0	63.1803530460013	34.8211584653674	4.45791703139784	3722.11748528081	2455.68347635508	530.893591426275	0	0	0	0	0	0	0	0	0	0.0437589273965531	0.0267497459273491	0.00447183051747749
3	109372.227616654	54848.3860335428	5084.07764554747	0	0	0	0	0	0	0	0	0	696.333417329902	372.294686999114	43.722540319794	46003.4585036227	24175.2047834745	2703.84136186234	0	0	0	0	0	0	0	0	0	70.9278595131432	38.0152785753277	4.50057982555915	3722.11640034381	2455.68201662516	530.893010731048	0	0	0	0	0	0	0	0	0	0.036578195530626	0.0218535202568387	0.00342989652056844
4	109292.84712661	54800.3994352383	5076.47961670265	0	0	0	0	0	0	0	0	0	776.533255589299	420.754736328605	51.3887397076195	46003.3773615876	24175.152144882	2703.83105496651	0	0	0	0	0	0	0	0	0	79.7460214872421	43.35458229982	5.35186155892142	3722.1568363839	2455.71036242595	530.899583969699	0	0	0	0	0	0	0	0	0	0.0476742533170429	0.028854343578305	0.00469921568066831
5	109357.236765738	54839.9867626008	5082.88370843877	0	0	0	0	0	0	0	0	0	711.668729702649	380.879109573587	44.9388355158517	46003.448622401	24175.1973305095	2703.83968222321	0	0	0	0	0	0	0	0	0	71.7720090369526	38.4584728510598	4.55554261336797	3722.11126169291	2455.67986033843	530.893086174867	0	0	0	0	0	0	0	0	0	0.010684456291609	0.0063686328305593	0.00099531246147729
6	109327.632565639	54820.8518386972	5079.65153822851	0	0	0	0	0	0	0	0	0	741.515586830365	400.172069652987	48.1985595229616	46003.2691484738	24175.0958158913	2703.82605599099	0	0	0	0	0	0	0	0	0	76.7171342592664	41.5816679284603	5.07868949911866	3722.10222965232	2455.67466282656	530.892333217814	0	0	0	0	0	0	0	0	0	0.0721387883444154	0.0436033620319804	0.0070542603891415
7	109298.656963413	54797.3426244708	5073.99235393255	0	0	0	0	0	0	0	0	0	770.783961046939	423.875476188678	53.8940258326213	46003.3269327181	24175.126318104	2703.82880727481	0	0	0	0	0	0	0	0	0	78.6862516230835	43.3738497461729	5.55490255647806	3722.16386807097	2455.71420396856	530.900002385974	0	0	0	0	0	0	0	0	0	0.0198096624504691	0.0119538732362672	0.00193163424249722
8	109480.390403648	54891.6020005347	5083.69474464314	0	0	0	0	0	0	0	0	0	588.054034128255	329.09994636947	44.1387101347727	46003.3499677898	24175.144627903	2703.83383563725	0	0	0	0	0	0	0	0	0	60.2988755253975	33.8310750049188	4.57084625727288	3722.03113352791	2455.63148617338	530.885416376468	0	0	0	0	0	0	0	0	0	0.017214082028517	0.0105803733020489	0.00179784558206623
9	109277.914334516	54793.9846779138	5076.269501661	0	0	0	0	0	0	0	0	0	791.46148334758	427.159940776959	51.5953515048836	46003.392899859	24175.1649373697	2703.83489760745	0	0	0	0	0	0	0	0	0	81.5774762684053	44.2014640892843	5.40688106767422	3722.11754781443	2455.68384223024	530.893733225805	0	0	0	0	0	0	0	0	0	0.0588744543870545	0.035822711461101	0.00591840771926111
10	109363.435726365	54832.4832776802	5078.05469143487	0	0	0	0	0	0	0	0	0	705.645098896364	388.543357953866	49.8112282379938	46003.3587832184	24175.1432923385	2703.83111107471	0	0	0	0	0	0	0	0	0	72.2087904700355	39.8654311737483	5.15202079379692	3722.12277905093	2455.68761547051	530.89464819471	0	0	0	0	0	0	0	0	0	0.0220829107928501	0.0134534509066225	0.00223369992051457
