S01	S02	S03	E01	E02	E03	I01	I02	I03	Y01	Y02	Y03	R01	R02	R03	S11	S12	S13	E11	E12	E13	I11	I12	I13	Y11	Y12	Y13	R11	R12	R13	S21	S22	S23	E21	E22	E23	I21	I22	I23	Y21	Y22	Y23	R21	R22	R23
1	97319.1300349705	44176.0514640055	1361.83386438448	0	0	0	0	0	0	0	0	0	715.138354676395	392.750078203408	50.0573550063995	49745.8605054157	27359.5200927086	3736.61823926955	0	0	0	0	0	0	0	0	0	74.5961585005427	41.1666288368951	5.32469550002829	12014.4308385863	9923.5320734432	3214.08138861435	0	0	0	0	0	0	0	0	0	0.0674904259890612	0.0412948823813655	0.00693408139142006
2	97422.265927875	44232.8021617068	1369.38791645239	0	0	0	0	0	0	0	0	0	611.326382887291	335.619999845418	42.4500400217454	49745.9593986489	27359.5779328542	3736.62711108858	0	0	0	0	0	0	0	0	0	63.18035305924	34.82115846015	4.45791702310324	12014.4537763862	9923.54684420612	3214.08418891337	0	0	0	0	0	0	0	0	0	0.0437589274188056	0.0267497459205404	0.00447183050183379
3	97337.362384218	44196.1317176115	1368.09815706352	0	0	0	0	0	0	0	0	0	696.333417417667	372.294686962391	43.7225402657848	49745.9878809447	27359.5961335792	3736.63040522447	0	0	0	0	0	0	0	0	0	70.9278595225523	38.0152785714491	4.50057981972593	12014.452257669	9923.5449810128	3214.08345508418	0	0	0	0	0	0	0	0	0	0.0365781955467804	0.0218535202513075	0.00342989650977997
4	97257.9840467041	44148.1471011532	1360.50085058697	0	0	0	0	0	0	0	0	0	776.533255499019	420.754736365532	51.3887397634024	49745.9101289407	27359.5468866953	3736.62153624359	0	0	0	0	0	0	0	0	0	79.746021477451	43.3545823037562	5.35186156502612	12014.4871473848	9923.56795571572	3214.08786933919	0	0	0	0	0	0	0	0	0	0.0476742533006746	0.0288543435836204	0.00469921569187907
5	97322.3650374344	44187.7265192519	1366.90200514854	0	0	0	0	0	0	0	0	0	711.668729539232	380.879109640489	44.9388356177929	49745.9831516659	27359.5935977719	3736.63067972462	0	0	0	0	0	0	0	0	0	71.772009020054	38.4584728579298	4.55554262394402	12014.4484567916	9923.54383899267	3214.08379333036	0	0	0	0	0	0	0	0	0	0.0106844562833179	0.00636863283339114	0.000995312467022569
6	97292.7644195616	44168.5949330355	1363.67110275109	0	0	0	0	0	0	0	0	0	741.515586632351	400.172069735905	48.198559643654	49745.7958190417	27359.4846926596	3736.61420335303	0	0	0	0	0	0	0	0	0	76.7171342371981	41.5816679374724	5.07868951275495	12014.4437013145	9923.54269423439	3214.08462266032	0	0	0	0	0	0	0	0	0	0.0721387882839959	0.0436033620518018	0.00705426043031657
7	97263.785955789	44145.0830502316	1358.01090263668	0	0	0	0	0	0	0	0	0	770.783960651756	423.875476346711	53.8940260782115	49745.859239682	27359.5205129004	3736.61901498661	0	0	0	0	0	0	0	0	0	78.6862515814591	43.3738497626374	5.5549025825004	12014.5025633394	9923.57958696924	3214.09124779471	0	0	0	0	0	0	0	0	0	0.0198096624269876	0.0119538732438953	0.00193163425857837
8	97445.533131385	44239.3550629224	1367.71800909242	0	0	0	0	0	0	0	0	0	588.054034030383	329.099946405509	44.1387101983043	49745.8710076225	27359.5284094444	3736.62013751027	0	0	0	0	0	0	0	0	0	60.2988755150816	33.8310750086827	4.57084626399945	12014.3673645368	9923.49464318355	3214.07585053433	0	0	0	0	0	0	0	0	0	0.0172140820225503	0.0105803733038081	0.00179784558632615
9	97243.0482604067	44141.7295786215	1360.28971619622	0	0	0	0	0	0	0	0	0	791.461483467594	427.159940728109	51.5953514303302	49745.9226561832	27359.5566457557	3736.62407969379	0	0	0	0	0	0	0	0	0	81.5774762816403	44.2014640840143	5.4068810593591	12014.4538677785	9923.54723170971	3214.08433585609	0	0	0	0	0	0	0	0	0	0.0588744544161804	0.0358227114520315	0.00591840769893606
10	97328.5645451762	44180.2235449984	1362.07318298773	0	0	0	0	0	0	0	0	0	705.645098639939	388.543358051614	49.8112284020476	49745.8861157491	27359.5327566347	3736.61946247536	0	0	0	0	0	0	0	0	0	72.2087904428683	39.8654311839917	5.15202081127176	12014.4666239189	9923.55788635577	3214.08780652509	0	0	0	0	0	0	0	0	0	0.0220829107734862	0.0134534509125582	0.00223369993412029
11	97298.7989913741	44164.1183898509	1359.86993586423	0	0	0	0	0	0	0	0	0	735.475047227052	404.687481706979	52.0233745434977	49745.9746640941	27359.5851295433	3736.62705660712	0	0	0	0	0	0	0	0	0	76.386229751387	42.2089253154671	5.49493308569476	12014.4242958909	9923.52882145585	3214.08112476426	0	0	0	0	0	0	0	0	0	0.0540520603742954	0.0329095733560793	0.00545629416236534
12	97274.7358439889	44157.9654534115	1361.70977204666	0	0	0	0	0	0	0	0	0	759.305120657913	410.673031585443	50.1476070185451	49745.9709310551	27359.58252555	3736.62662098874	0	0	0	0	0	0	0	0	0	77.6587932625416	42.1236047572911	5.19080100966677	12014.479722087	9923.56168036013	3214.08589527003	0	0	0	0	0	0	0	0	0	0.0354697198772959	0.02147796981168	0.00350719116380803
13	97408.4821905665	44237.5302371497	1374.26326187299	0	0	0	0	0	0	0	0	0	625.077803546075	330.80113585722	37.5368699583669	49746.0201926957	27359.6175016718	3736.63497939065	0	0	0	0	0	0	0	0	0	63.0893609202129	33.4312117367314	3.80978349718892	12014.4417709583	9923.53963863393	3214.08305257157	0	0	0	0	0	0	0	0	0	0.0201661220082575	0.0118330350979716	0.00176319105863643
14	97295.1913686121	44163.4472926959	1360.21305675355	0	0	0	0	0	0	0	0	0	739.209940700315	405.421419680255	51.6857135687125	49745.8325262348	27359.4990235917	3736.6131233999	0	0	0	0	0	0	0	0	0	75.986393142403	41.8061494042104	5.38001626987773	12014.5052284265	9923.57953484702	3214.0900048524	0	0	0	0	0	0	0	0	0	0.0350122192958997	0.0211532184093851	0.00343653997479661
15	97303.3055808701	44171.876315333	1362.73714827363	0	0	0	0	0	0	0	0	0	730.962560115237	396.898131073356	49.1419876600396	49745.8961712612	27359.5401785447	3736.62082170553	0	0	0	0	0	0	0	0	0	75.9467221254907	41.4340687949057	5.20615063406593	12014.4607509181	9923.55084381844	3214.08456253094	0	0	0	0	0	0	0	0	0	0.0741074525590809	0.0449273450598474	0.00735298316672096
16	97311.5485409827	44177.8725512962	1363.97036890608	0	0	0	0	0	0	0	0	0	722.528236979682	390.785816406777	47.8900006099254	49745.9551857402	27359.5759811942	3736.62667682916	0	0	0	0	0	0	0	0	0	73.9555913177871	40.120039528666	4.9629098679205	12014.4047970204	9923.5174635029	3214.07951743502	0	0	0	0	0	0	0	0	0	0.0351928993283846	0.0212320094550655	0.00343287588781395
17	97285.5232683195	44160.2385667787	1361.0788401534	0	0	0	0	0	0	0	0	0	748.776854496167	408.564415870794	50.805400752724	49745.8990978969	27359.5384549732	3736.61931864513	0	0	0	0	0	0	0	0	0	77.0781219317245	42.2053298272922	5.30685423010708	12014.4474695756	9923.54377023372	3214.08388316624	0	0	0	0	0	0	0	0	0	0.043256187596675	0.0263873519878238	0.0043858946241453
18	97370.9804645693	44202.3133141967	1364.14460326524	0	0	0	0	0	0	0	0	0	663.201404059414	366.446342986971	47.7437727303392	49745.8895929441	27359.5361122712	3736.62036067563	0	0	0	0	0	0	0	0	0	68.304954026039	37.866389712886	4.9817027250508	12014.4909309099	9923.57096528071	3214.08906776149	0	0	0	0	0	0	0	0	0	0.0283695834529312	0.0173166612598987	0.00289149770647044
19	97336.2925192031	44191.7702711561	1366.24565197764	0	0	0	0	0	0	0	0	0	697.490803482929	376.721016556961	45.5885249966501	49745.9916279744	27359.6002577542	3736.63217947617	0	0	0	0	0	0	0	0	0	71.2694193020286	38.5990056702348	4.71206391388016	12014.4287416783	9923.53183622933	3214.08171912534	0	0	0	0	0	0	0	0	0	0.0353857415881883	0.0212798386214606	0.00340819632687175
20	97276.2958178321	44163.4798523794	1364.12879571497	0	0	0	0	0	0	0	0	0	757.838486446155	405.176328799655	47.7169388550709	49745.9385213148	27359.5689740123	3736.62719764496	0	0	0	0	0	0	0	0	0	76.5167525719559	40.9641105256902	4.84515316692257	12014.4663589621	9923.55651142278	3214.08677146605	0	0	0	0	0	0	0	0	0	0.0132111480378219	0.00784244558543373	0.00121158286029564
21	97312.5322653952	44181.5358948215	1365.77290611328	0	0	0	0	0	0	0	0	0	722.017499194459	387.352902045593	46.1034490041147	49745.8651512222	27359.5250555295	3736.6201897812	0	0	0	0	0	0	0	0	0	73.3997905269916	39.4628755441204	4.72924992617379	12014.521042516	9923.59160735937	3214.09367479882	0	0	0	0	0	0	0	0	0	0.0295747185471897	0.0175326114458528	0.00270001608509453
22	97318.1203730123	44177.7294634857	1362.75154217167	0	0	0	0	0	0	0	0	0	715.857524907812	390.890817388023	49.1088381350803	49745.9787638002	27359.5906141342	3736.62946944195	0	0	0	0	0	0	0	0	0	73.4446611005904	40.2255097519798	5.10046198116982	12014.451174447	9923.54453588304	3214.08347596613	0	0	0	0	0	0	0	0	0	0.0384075954398779	0.0231993390567252	0.00376687848664965
23	97382.2770687442	44216.3795018866	1368.87358186994	0	0	0	0	0	0	0	0	0	651.1196361128	351.899720327773	42.934458446468	49745.9380037853	27359.5624055729	3736.62344416828	0	0	0	0	0	0	0	0	0	66.2256539488306	35.8698515451263	4.40621769942036	12014.5206238326	9923.59334531365	3214.09489070789	0	0	0	0	0	0	0	0	0	0.0234616979446739	0.0140382058198151	0.00221975798039968
24	97437.6813996635	44245.4865811378	1372.07762798262	0	0	0	0	0	0	0	0	0	595.807442699612	322.849717646766	39.7406666427608	49745.9708741201	27359.5861425691	3736.62894686146	0	0	0	0	0	0	0	0	0	60.5840793254699	32.9015576073477	4.0779885959805	12014.4678654639	9923.55715810734	3214.08671593148	0	0	0	0	0	0	0	0	0	0.0211764332320654	0.0127462639268267	0.00205119641505045
25	97251.7087206463	44139.0428619597	1356.94433904768	0	0	0	0	0	0	0	0	0	782.908554644542	429.950003649239	54.9716498405407	49745.8972137906	27359.5401704374	3736.62065035683	0	0	0	0	0	0	0	0	0	81.8658008707223	45.189529923116	5.86770207333342	12014.4299187137	9923.53424697677	3214.08313576964	0	0	0	0	0	0	0	0	0	0.0742901145476949	0.0455207731054977	0.007676305932802
26	97329.0238071641	44171.550507964	1357.55568515717	0	0	0	0	0	0	0	0	0	705.313599245731	397.347760819168	54.370631628849	49745.7680912133	27359.4605433452	3736.60651711505	0	0	0	0	0	0	0	0	0	73.3263917234452	41.4569636915545	5.73037891009972	12014.457884465	9923.54951319573	3214.08464470995	0	0	0	0	0	0	0	0	0	0.030150577627065	0.0186707308268091	0.00323360959972867
27	97441.4729552572	44240.7935043082	1369.0491984479	0	0	0	0	0	0	0	0	0	592.023471607818	327.589862666441	42.7912665047643	49745.9835516956	27359.5907242235	3736.62837752128	0	0	0	0	0	0	0	0	0	61.2853301064031	34.0459556752731	4.49981788783928	12014.4439668839	9923.54158038398	3214.08359248414	0	0	0	0	0	0	0	0	0	0.0381631124362145	0.0235580887266167	0.00404863039872979
28	97363.8829302274	44191.9633525121	1360.8434063749	0	0	0	0	0	0	0	0	0	670.088368952982	376.712063368753	51.0436858987413	49746.022560592	27359.6179711986	3736.63463581308	0	0	0	0	0	0	0	0	0	69.9320074202176	39.4710199386537	5.41027968332475	12014.4368741759	9923.53650193389	3214.08242085789	0	0	0	0	0	0	0	0	0	0.0432126317026123	0.0265925587757967	0.00453090603811606
29	97350.5658972616	44192.9184435856	1363.5381672339	0	0	0	0	0	0	0	0	0	683.593365817236	375.825168164463	48.3476214228033	49745.8799955257	27359.5274130208	3736.61781396522	0	0	0	0	0	0	0	0	0	70.7733994978266	39.0624755463005	5.08365976031822	12014.4432598587	9923.54176653759	3214.08399573902	0	0	0	0	0	0	0	0	0	0.0479613246158961	0.0291697437591158	0.0048297027069603
30	97366.8591308014	44209.8557505399	1368.85844853958	0	0	0	0	0	0	0	0	0	666.575100128174	358.436306426817	42.9477548249013	49745.9522284557	27359.5805153262	3736.631167734	0	0	0	0	0	0	0	0	0	68.4262263996932	36.9192651484267	4.47174052790894	12014.465902375	9923.55378163947	3214.08485834171	0	0	0	0	0	0	0	0	0	0.0516837177240742	0.0310868617918083	0.00498611529999924
31	97265.0249420825	44156.5673544136	1363.05585408853	0	0	0	0	0	0	0	0	0	769.240988496183	412.158876406473	48.797284732872	49746.0537738461	27359.6412254686	3736.64056695576	0	0	0	0	0	0	0	0	0	78.5506690730414	42.2004419731774	5.03944363241139	12014.4589693074	9923.55028202002	3214.08463946125	0	0	0	0	0	0	0	0	0	0.0438604270520019	0.0260168595223595	0.00400396545126114
32	97326.8334484832	44180.0186175093	1362.18827478563	0	0	0	0	0	0	0	0	0	707.117895194993	388.598874600127	49.6750463517135	49745.9805922648	27359.594340346	3736.63152971747	0	0	0	0	0	0	0	0	0	72.9190237513646	40.2170779300877	5.19722592172774	12014.4175811221	9923.52620539717	3214.08127633609	0	0	0	0	0	0	0	0	0	0.0388314927663841	0.0237314167039667	0.00396890701085855
33	97347.9924792171	44200.8758752203	1368.26628346088	0	0	0	0	0	0	0	0	0	685.818536297593	367.618478103642	43.5643612575839	49745.927925215	27359.561325891	3736.62546985392	0	0	0	0	0	0	0	0	0	70.7508578782156	38.0746033626245	4.56957563602012	12014.4666499602	9923.55628437597	3214.08644363931	0	0	0	0	0	0	0	0	0	0.0747358895488737	0.0445869833419285	0.00697025486672151
34	97288.1062698895	44164.2331358085	1362.04120172167	0	0	0	0	0	0	0	0	0	746.283813001551	404.601425782962	49.8424518679793	49745.8725264673	27359.5285852716	3736.62006129254	0	0	0	0	0	0	0	0	0	75.9147250715347	41.2508181615589	5.11771672707331	12014.4415906193	9923.54003748723	3214.08321000904	0	0	0	0	0	0	0	0	0	0.0184352882955127	0.0111833609363913	0.00183360772932459
35	97281.7729546821	44159.1223986366	1360.86664214835	0	0	0	0	0	0	0	0	0	752.652219401975	409.74815948333	51.0276186513221	49745.8952282734	27359.5375660602	3736.61969300332	0	0	0	0	0	0	0	0	0	79.243329548994	43.4076974655029	5.50954435908973	12014.4108329358	9923.52202250609	3214.08075624681	0	0	0	0	0	0	0	0	0	0.116232424362317	0.0705580218995843	0.0115847930813149
36	97383.5553787824	44198.2808398157	1360.14870649791	0	0	0	0	0	0	0	0	0	650.477892664294	370.459440313973	51.7579064217332	49745.8826180692	27359.5336660671	3736.62038642433	0	0	0	0	0	0	0	0	0	67.7029267722335	38.6813829297724	5.4540134076133	12014.4012492374	9923.5162448828	3214.07976825282	0	0	0	0	0	0	0	0	0	0.0266542695864456	0.0165087000644479	0.00285665938120499
37	97287.380450483	44150.5495066162	1355.98123123278	0	0	0	0	0	0	0	0	0	747.306310720812	418.523644428666	55.9575212131722	49745.8755734151	27359.5328079941	3736.62180375283	0	0	0	0	0	0	0	0	0	77.4456099195629	43.5218016143423	5.87827732505238	12014.3692898646	9923.49626731415	3214.07627655623	0	0	0	0	0	0	0	0	0	0.0319550681732544	0.0196155786439222	0.00331680651203142
38	97329.7809113397	44165.2306481789	1354.44712850802	0	0	0	0	0	0	0	0	0	704.188048205532	403.488177379385	57.4627800239048	49745.8624079904	27359.517161027	3736.6164217094	0	0	0	0	0	0	0	0	0	74.5897165596446	42.916468033216	6.18301033220226	12014.4834393407	9923.56638777701	3214.08823308869	0	0	0	0	0	0	0	0	0	0.0502727349652152	0.0311575477672619	0.00540629898976548
39	97309.7844002017	44180.6006798664	1366.07837816983	0	0	0	0	0	0	0	0	0	724.296024821798	388.033185785014	45.7658098833552	49745.9445612313	27359.5730263703	3736.62889664951	0	0	0	0	0	0	0	0	0	73.5217486903356	39.4676493022162	4.68551876956484	12014.4642438983	9923.55311663219	3214.08491861265	0	0	0	0	0	0	0	0	0	0.0259687594167814	0.0155193650976507	0.00243890558038846
40	97340.9507830432	44184.2334439157	1361.60520642834	0	0	0	0	0	0	0	0	0	693.429143640355	384.643484565847	50.2987586312961	49745.7374009833	27359.4509986904	3736.60943696601	0	0	0	0	0	0	0	0	0	71.2925241809821	39.6663927929829	5.23458197982875	12014.4935995001	9923.5734800096	3214.08988486359	0	0	0	0	0	0	0	0	0	0.0250462378385344	0.0154171557868762	0.00262739974047363
41	97385.6333438812	44214.4397342203	1367.42914455095	0	0	0	0	0	0	0	0	0	648.512103280334	354.281712400043	44.4471718062487	49745.9121062007	27359.5479276631	3736.62147010682	0	0	0	0	0	0	0	0	0	67.2624246098308	36.9095708425074	4.69490939665512	12014.460493013	9923.55086200087	3214.08463683415	0	0	0	0	0	0	0	0	0	0.0525828571383987	0.0321054652754179	0.00535762735295653
42	97356.6684817174	44201.434733089	1367.05923908462	0	0	0	0	0	0	0	0	0	677.290603104053	367.164940182256	44.792037545485	49745.7940253144	27359.4823638131	3736.61336345943	0	0	0	0	0	0	0	0	0	69.0476887556157	37.5267675175808	4.61561734459026	12014.4672493825	9923.55791365781	3214.08747812492	0	0	0	0	0	0	0	0	0	0.0239058779278181	0.0145145831760422	0.00238070474629316
43	97384.8203255785	44208.426139536	1364.57556178369	0	0	0	0	0	0	0	0	0	648.979569468859	360.123740614349	47.2843607325064	49745.8941649338	27359.5415131865	3736.62233155348	0	0	0	0	0	0	0	0	0	66.5232246117116	37.0159138282752	4.89994151586227	12014.4980958495	9923.57679461996	3214.09093312749	0	0	0	0	0	0	0	0	0	0.0191704466278023	0.0118094288569012	0.00201760708055855
44	97426.3826273141	44223.8667964814	1363.8603825347	0	0	0	0	0	0	0	0	0	607.438818565371	344.745753156304	48.0270814397895	49745.9477259357	27359.572161957	3736.62662828948	0	0	0	0	0	0	0	0	0	64.1783536697394	36.5964600613394	5.16686703823297	12014.4522101829	9923.54645317048	3214.08434039015	0	0	0	0	0	0	0	0	0	0.0551131662427896	0.0341963534646853	0.00595066228103433
