S01	S02	S03	E01	E02	E03	I01	I02	I03	Y01	Y02	Y03	R01	R02	R03	S11	S12	S13	E11	E12	E13	I11	I12	I13	Y11	Y12	Y13	R11	R12	R13	S21	S22	S23	E21	E22	E23	I21	I22	I23	Y21	Y22	Y23	R21	R22	R23
1	109383.287737967	54850.8694617822	4966.28032845844	0	0	0	0	0	0	0	0	0	710.435572470937	367.404796058136	38.5489083606191	46952.9264786212	24226.2293108626	2572.41788463203	0	0	0	0	0	0	0	0	0	74.2565770017994	38.4410597303496	4.04424256781413	3066.14031588022	2198.36335514437	680.449895536783	0	0	0	0	0	0	0	0	0	0.0702642711459732	0.037168399643876	0.00413376626604562
2	109485.507725625	54903.7981055577	4971.87049958006	0	0	0	0	0	0	0	0	0	607.09665780943	313.89522630778	32.896949470208	46953.0322919037	24226.2845544301	2572.42382466197	0	0	0	0	0	0	0	0	0	62.8459713558316	32.5206425955664	3.4157371211281	3066.15408876145	2198.37075269132	680.450772466916	0	0	0	0	0	0	0	0	0	0.0455338158436283	0.0240801389404258	0.002675638857028
3	109408.760729889	54865.96923254	4968.3889573242	0	0	0	0	0	0	0	0	0	684.167229741789	351.873703475382	36.3895249478921	46953.0621144286	24226.3004282303	2572.42561864998	0	0	0	0	0	0	0	0	0	69.759078957138	35.8960608567062	3.71729500584514	3066.15313202156	2198.37016392379	680.450685071802	0	0	0	0	0	0	0	0	0	0.0376576824845581	0.0198132146007515	0.00217061753014602
4	109327.04005515	54822.8881064589	4963.65497896255	0	0	0	0	0	0	0	0	0	767.08865062064	395.583815434351	41.1915905168451	46952.9957077375	24226.2650027982	2572.42157767091	0	0	0	0	0	0	0	0	0	78.8859854643131	40.7095815119874	4.24697937015048	3066.17768679978	2198.3835887326	680.45232762404	0	0	0	0	0	0	0	0	0	0.0493788138091125	0.0260560006461941	0.00287788368148067
5	109393.758820384	54858.1689365953	4967.55488538496	0	0	0	0	0	0	0	0	0	699.550225662596	359.870197796778	37.2439796875938	46953.0486970781	24226.2931634717	2572.42477000517	0	0	0	0	0	0	0	0	0	70.5849697753946	36.3202026842174	3.76139607177629	3066.1506486045	2198.36895430442	680.450579628146	0	0	0	0	0	0	0	0	0	0.0109890425559443	0.00577915542937971	0.000632480184469306
6	109362.507737112	54841.4996877945	4965.68578977506	0	0	0	0	0	0	0	0	0	731.259097533251	376.783710533739	39.1406146556383	46952.8640886252	24226.1971140299	2572.41454006191	0	0	0	0	0	0	0	0	0	75.7920304609109	39.0873945148018	4.07027903489097	3066.14564920133	2198.3663093289	680.450260581904	0	0	0	0	0	0	0	0	0	0.0746627487564444	0.0393827748006313	0.00434395344087908
7	109328.196166792	54822.3218340783	4963.29235929462	0	0	0	0	0	0	0	0	0	765.992766630989	396.191311783805	41.561133477982	46952.9503107546	24226.2419242344	2572.41928277307	0	0	0	0	0	0	0	0	0	78.2746937150673	40.5057099926957	4.2547361442219	3066.18146448452	2198.38553248756	680.452523945235	0	0	0	0	0	0	0	0	0	0.020489767777255	0.010804862654691	0.00119128279963775
8	109503.758420998	54912.0101702455	4972.38378144104	0	0	0	0	0	0	0	0	0	588.760415485923	305.649935295828	32.3833411221336	46952.9140761185	24226.223462871	2572.41744382015	0	0	0	0	0	0	0	0	0	60.4363170565296	31.391671383824	3.33062114861261	3066.10552017792	2198.34509481339	680.447893687822	0	0	0	0	0	0	0	0	0	0.0179597362198175	0.0095099500356794	0.00106060226329298
9	109313.584660956	54816.2638069044	4963.04755000915	0	0	0	0	0	0	0	0	0	780.596974062361	402.23306376954	41.8010308067902	46952.9949893643	24226.2650711396	2572.42172818125	0	0	0	0	0	0	0	0	0	80.5887335907162	41.5605067131836	4.32856707884389	3066.15424904906	2198.37086250055	680.45078603154	0	0	0	0	0	0	0	0	0	0.0611306433860368	0.0322953707682914	0.00357865445312555
10	109391.8610959	54855.1226186348	4966.68281794099	0	0	0	0	0	0	0	0	0	701.724331845359	363.080450632725	38.1388911934446	46952.9616147886	24226.247334791	2572.4197392408	0	0	0	0	0	0	0	0	0	71.8878281199937	37.2162943858656	3.91508909894451	3066.15746990913	2198.37263016863	680.451001200219	0	0	0	0	0	0	0	0	0	0.0229441685305149	0.01212536482551	0.00134503131646101
11	109362.515061166	54839.9541317133	4965.07713038546	0	0	0	0	0	0	0	0	0	731.283991963519	378.36002051236	39.756566228989	46953.0405910127	24226.2888909361	2572.42428823307	0	0	0	0	0	0	0	0	0	76.0859501545027	39.4009821571484	4.1497944086008	3066.13812611887	2198.36234904458	680.449843745449	0	0	0	0	0	0	0	0	0	0.0561445092621845	0.0296669493440267	0.00328976251439455
12	109343.926364966	54831.6959372815	4964.58115510708	0	0	0	0	0	0	0	0	0	749.626526642591	386.477233379049	40.2339652453898	46953.0580234666	24226.2977291767	2572.42514829318	0	0	0	0	0	0	0	0	0	76.7606818106553	39.5984850560127	4.12897753136325	3066.17506297887	2198.38213119484	680.452150532066	0	0	0	0	0	0	0	0	0	0.0367481548486947	0.0193939105578036	0.00214320271756275
13	109480.879235278	54903.7158740132	4972.47275051721	0	0	0	0	0	0	0	0	0	611.59973503727	313.887002459065	32.2772344132283	46953.0888189857	24226.3171727892	2572.42964122443	0	0	0	0	0	0	0	0	0	61.7613375601934	31.7057390125771	3.26261054085604	3066.14675052019	2198.36644626848	680.449854074982	0	0	0	0	0	0	0	0	0	0.0205909687848824	0.0107905586493818	0.00116915313136276
14	109359.870726085	54838.8284681896	4965.02121194735	0	0	0	0	0	0	0	0	0	734.030649965815	379.5358413848	39.8169978370595	46952.9292993293	24226.2301303765	2572.41777278919	0	0	0	0	0	0	0	0	0	75.5531677854384	39.0908577903447	4.10810022223194	3066.18780240147	2198.38897266046	680.452932417916	0	0	0	0	0	0	0	0	0	0.0362376533375264	0.0191154278833224	0.00210989283184144
15	109370.889171499	54845.2856792547	4965.90450038427	0	0	0	0	0	0	0	0	0	722.851002892857	372.988720993694	38.9225277574094	46952.9774294939	24226.2559916742	2572.42077071249	0	0	0	0	0	0	0	0	0	75.2524143776056	38.8683996009482	4.06671126698392	3066.15885873307	2198.37329533329	680.451055505387	0	0	0	0	0	0	0	0	0	0.0768178615326249	0.0405504093028916	0.00448368862213134
16	109380.059227947	54850.2973562172	4966.4987920357	0	0	0	0	0	0	0	0	0	713.39423468842	367.825062715905	38.3113125153883	46953.0129720318	24226.2748509108	2572.42289344807	0	0	0	0	0	0	0	0	0	73.111512803312	37.7197039792432	3.93525309951602	3066.12697901903	2198.35648251439	680.449191876398	0	0	0	0	0	0	0	0	0	0.0363991695202073	0.019194047189175	0.00211638389942841
17	109352.08754988	54835.2849993	4964.81459070475	0	0	0	0	0	0	0	0	0	741.735983354532	383.034979922774	40.0175809399653	46952.9724908612	24226.2528535908	2572.42028415202	0	0	0	0	0	0	0	0	0	76.4659259688087	39.5164005132939	4.13666619132896	3066.15170615517	2198.3696171608	680.450674933529	0	0	0	0	0	0	0	0	0	0.0449662958175231	0.0237687922994433	0.00263756800366843
18	109432.823374233	54876.0282320896	4968.78012152819	0	0	0	0	0	0	0	0	0	660.598692425935	342.093255301319	36.0340032399974	46952.9790267263	24226.2567014537	2572.42081913097	0	0	0	0	0	0	0	0	0	68.1316460214566	35.3065616657957	3.7257636006669	3066.1716912516	2198.38003508429	680.451797726326	0	0	0	0	0	0	0	0	0	0.0295032547999782	0.0155986007783214	0.00173252242087662
19	109404.943310999	54863.2877944067	4967.92140056121	0	0	0	0	0	0	0	0	0	688.116482444482	354.629721723927	36.866598550244	46953.0506701586	24226.2945401166	2572.42500924647	0	0	0	0	0	0	0	0	0	70.3913977920884	36.2978111961421	3.77920021663231	3066.14033654581	2198.36353741796	680.449983057236	0	0	0	0	0	0	0	0	0	0.0365431840546714	0.019255871283505	0.00211878559119996
20	109348.922990244	54835.1722773364	4965.18901385912	0	0	0	0	0	0	0	0	0	744.653716094533	383.003446762732	39.6236905455766	46953.0183226045	24226.2779992628	2572.42334121959	0	0	0	0	0	0	0	0	0	75.2265553138737	38.7025028974523	4.00690586579832	3066.16086730836	2198.3744988084	680.451242047395	0	0	0	0	0	0	0	0	0	0.0135622524641417	0.0071259391142794	0.000777929318181012
21	109383.460994982	54852.6846294829	4966.93291197192	0	0	0	0	0	0	0	0	0	710.443939967202	365.663525479144	37.8985870227931	46952.9644157675	24226.2495510079	2572.42018189763	0	0	0	0	0	0	0	0	0	72.2869512349013	37.222413439328	3.86239714862587	3066.19108126113	2198.39065040588	680.453110203082	0	0	0	0	0	0	0	0	0	0.030342769225792	0.0159383533535813	0.00173873090043066
22	109383.853102132	54851.5701636529	4966.45697867588	0	0	0	0	0	0	0	0	0	709.512229506492	366.512842768832	38.3505533868239	46953.0521508515	24226.2951773113	2572.42503706695	0	0	0	0	0	0	0	0	0	72.8854059956178	37.6741081432492	3.94866257639576	3066.15259683772	2198.36990192857	680.450660916185	0	0	0	0	0	0	0	0	0	0.0397477938126642	0.0209660146968073	0.00231386046081874
23	109449.833545345	54886.3367803971	4970.27610777991	0	0	0	0	0	0	0	0	0	642.651011073052	331.284281656515	34.4811938409664	46953.0338330836	24226.2849799876	2572.42374457093	0	0	0	0	0	0	0	0	0	65.4230244294259	33.7405271679261	3.5160237221104	3066.19087203391	2198.39072322548	680.453181113024	0	0	0	0	0	0	0	0	0	0.0241739162554698	0.0127242219852545	0.00139605905026826
24	109503.664740345	54913.9193342058	4973.09895104739	0	0	0	0	0	0	0	0	0	588.70549291517	303.644386413197	31.6528401824466	46953.050663751	24226.2945701941	2572.42502466294	0	0	0	0	0	0	0	0	0	59.9169188449737	30.9183634632657	3.22696697414127	3066.16164136869	2198.37488212006	680.451278903611	0	0	0	0	0	0	0	0	0	0.0218802175726082	0.0115324738652298	0.0012701663041716
25	109316.538031286	54816.3254789985	4962.63718324046	0	0	0	0	0	0	0	0	0	777.823415926323	402.279629326824	42.2271053333863	46952.9591591449	24226.2461766327	2572.41963555297	0	0	0	0	0	0	0	0	0	81.5094446475987	42.200790871708	4.44243803154678	3066.13829472867	2198.36244591883	680.449844337297	0	0	0	0	0	0	0	0	0	0.0773972564259607	0.0409553193202093	0.00455934063980782
26	109385.620633882	54850.165720367	4965.68317685412	0	0	0	0	0	0	0	0	0	708.182928041513	368.168093417154	39.1572536853207	46952.8532706683	24226.1906823443	2572.41361932869	0	0	0	0	0	0	0	0	0	73.7372832858223	38.3631294055446	4.08830885932935	3066.15727765759	2198.3724615447	680.450949159825	0	0	0	0	0	0	0	0	0	0.0315676062026027	0.0167433851005445	0.0018757729934325
27	109502.428411011	54911.9934809412	4972.55099078768	0	0	0	0	0	0	0	0	0	590.026985300881	305.628076865074	32.2106355091016	46953.0516797244	24226.2944918138	2572.42483392934	0	0	0	0	0	0	0	0	0	61.1808499239792	31.7173695677245	3.35013237715265	3066.14895604276	2198.36811930244	680.450502914658	0	0	0	0	0	0	0	0	0	0.0398977721619067	0.0211469862395276	0.00236471678025235
