S01	S02	S03	E01	E02	E03	I01	I02	I03	Y01	Y02	Y03	R01	R02	R03	S11	S12	S13	E11	E12	E13	I11	I12	I13	Y11	Y12	Y13	R11	R12	R13	S21	S22	S23	E21	E22	E23	I21	I22	I23	Y21	Y22	Y23	R21	R22	R23
1	87740.405252189	34288.4929637994	-6354.13546154523	0	0	0	0	0	0	0	0	0	671.235197806669	342.204423404254	34.6001505978261	56712.9064633485	30499.5845400696	3842.91635246659	0	0	0	0	0	0	0	0	0	70.1900616294286	35.7857436435057	3.61870183567101	15056.257451036	16471.5644458304	10714.4764694752	0	0	0	0	0	0	0	0	0	0.0670449814284161	0.0342218109090433	0.00346913235660076
2	87836.2724059895	34337.3643106082	-6349.20123186446	0	0	0	0	0	0	0	0	0	573.534839744354	292.391023434514	29.5623470576265	56713.0200097008	30499.647747589	3842.92927186654	0	0	0	0	0	0	0	0	0	59.3927208141614	30.2800404634493	3.06176674093406	15056.2642849831	16471.5699107718	10714.4787782763	0	0	0	0	0	0	0	0	0	0.0434421755439065	0.0221738586208366	0.00224772159903949
3	87765.6392536028	34301.4323771393	-6352.82926391205	0	0	0	0	0	0	0	0	0	644.885519031312	328.675126940381	33.2116295400695	56713.0588919656	30499.6816727597	3842.9487278333	0	0	0	0	0	0	0	0	0	65.7682549294979	33.5206381057223	3.38735440191885	15056.2634216398	16471.5674661823	10714.4765363797	0	0	0	0	0	0	0	0	0	0.0358457607505506	0.0182912846674558	0.00185299377493907
4	87688.4420359008	34262.0526471723	-6356.80095137613	0	0	0	0	0	0	0	0	0	723.876901728607	368.986142964597	37.2959753338013	56712.9996693155	30499.6357107118	3842.92559990423	0	0	0	0	0	0	0	0	0	74.4646550145674	37.9587330510276	3.83705683473178	15056.2690858563	16471.5702204426	10714.476946593	0	0	0	0	0	0	0	0	0	0.0470642192064293	0.0240197037582394	0.00243418042814642
5	87751.5192780228	34294.2551186753	-6353.52790508338	0	0	0	0	0	0	0	0	0	659.454355708822	336.104792271533	33.9633802353946	56713.0274309144	30499.6420071333	3842.91701271586	0	0	0	0	0	0	0	0	0	66.5464593826008	33.9172551833668	3.4274349018677	15056.261729289	16471.566592544	10714.4765505741	0	0	0	0	0	0	0	0	0	0.010458265652827	0.00533649249125956	0.000540585768442507
6	87721.9331355465	34279.1266489586	-6355.08753806533	0	0	0	0	0	0	0	0	0	689.808874669358	351.604196795513	35.5355139931619	56712.8642456906	30499.5798578963	3842.93553858843	0	0	0	0	0	0	0	0	0	71.5237532098984	36.4583040404663	3.68510332526784	15056.2606787064	16471.5663910415	10714.4768470917	0	0	0	0	0	0	0	0	0	0.0711502117344612	0.0363113919114861	0.00367962909908968
7	87688.5913756704	34262.072403175	-6356.81084310147	0	0	0	0	0	0	0	0	0	723.757507839046	368.98228605209	37.3076575618545	56712.9609083462	30499.615964114	3842.92347526975	0	0	0	0	0	0	0	0	0	73.9746195855358	37.714351759693	3.81349948934087	15056.271566474	16471.5717333104	10714.4772339517	0	0	0	0	0	0	0	0	0	0.0195236281586401	0.00996372285426584	0.00100965374589217
8	87852.3936681698	34345.5360082053	-6348.37207718229	0	0	0	0	0	0	0	0	0	557.191506175342	284.120829345456	28.7395984048869	56712.8702544372	30499.5595540069	3842.90599682674	0	0	0	0	0	0	0	0	0	57.2089767925493	29.1726000269049	2.95106865041326	15056.2469165791	16471.5591262162	10714.4758857425	0	0	0	0	0	0	0	0	0	0.0171446379778619	0.00875163943434315	0.00088728069579
9	87676.0932131717	34255.7727082219	-6357.43277640243	0	0	0	0	0	0	0	0	0	736.376957072126	375.342456122249	37.935185151671	56712.9846057605	30499.6281956703	3842.92505101604	0	0	0	0	0	0	0	0	0	76.0503292139101	38.7656922396471	3.91834399736226	15056.2638711782	16471.5678966315	10714.4767900995	0	0	0	0	0	0	0	0	0	0.0582960287386623	0.0297539253302133	0.00301572781812886
10	87748.20832776	34292.4615788582	-6353.73665447538	0	0	0	0	0	0	0	0	0	663.1437743339	338.0878809422	34.1857031636766	56712.9526315372	30499.6088967719	3842.91958575942	0	0	0	0	0	0	0	0	0	67.9518189760483	34.6446271540934	3.50330884940661	15056.2648482237	16471.5683329262	10714.4767765048	0	0	0	0	0	0	0	0	0	0.0218835519827778	0.0111694414511766	0.00113213610798137
11	87720.7576574288	34278.4667687666	-6355.15145570343	0	0	0	0	0	0	0	0	0	691.075581216788	352.328517521166	35.6259001649411	56713.0154439969	30499.6405544341	3842.92233094084	0	0	0	0	0	0	0	0	0	71.9299670781505	36.6735170087504	3.70863711209708	15056.2583871985	16471.5649840154	10714.4763817101	0	0	0	0	0	0	0	0	0	0.0535460794164752	0.0273299122243738	0.00277012121942687
12	87704.2766652637	34270.1212953433	-6355.99254220852	0	0	0	0	0	0	0	0	0	707.328610901617	360.546989580153	36.4423526552045	56713.0621931267	30499.6743155235	3842.93735746871	0	0	0	0	0	0	0	0	0	72.4481921738069	36.9302350196654	3.73298472584024	15056.2681049008	16471.5696114245	10714.4767752036	0	0	0	0	0	0	0	0	0	0.0350280331434064	0.0178770744769049	0.00181171953763071
13	87833.6231524331	34336.1326833079	-6349.29347521113	0	0	0	0	0	0	0	0	0	575.960795394504	293.513720655247	29.6515821118644	56713.0688563216	30499.6656007813	3842.9223314831	0	0	0	0	0	0	0	0	0	58.1690008373325	29.6437510777356	2.99478386795606	15056.2617005365	16471.5687376084	10714.4789743629	0	0	0	0	0	0	0	0	0	0.0195654823500096	0.00998162679670405	0.00101069764896828
