epiM	epiL	epiU
s20250501vac0ind05	759.345555859449	492.872910888104	1050.55821771962
s20251101vac0ind05	863.476795034351	569.062227078955	1177.56506624777
s20250501vac0ind10	1455.12288969374	954.045461516626	2020.1733169017
s20251101vac0ind10	1655.74952858882	1098.30644355407	2252.69063618864
s20250501vac3ind05	502.686887118819	307.866925403843	722.027129001336
s20251101vac3ind05	652.991879109464	418.069079868222	922.921118790201
s20250501vac3ind10	977.713732682887	601.784880009635	1403.21159814164
s20251101vac3ind10	1265.99257201781	812.762520546601	1777.61419413646
s20250501vac3Bind05	467.93246316436	283.327232117012	678.031322862801
s20251101vac3Bind05	630.936684307446	401.427591446327	895.095360848543
s20250501vac3Bind10	913.862384961035	554.747282844596	1320.04213872998
s20251101vac3Bind10	1225.28659872219	781.183087206365	1726.02999878094
s20250501vac30ind05	19.6169647591015	5.64150152869293	50.5768285093553
s20251101vac30ind05	55.9198516195861	23.7568992575983	114.845618043642
s20250501vac30ind10	39.2368366904744	11.2869810041726	101.115365932146
s20251101vac30ind10	111.507167843378	47.3774396189181	229.114435881905
s20250501vac30Bind05	2.45206128272069	-1.13081591700084	11.6262588795306
s20251101vac30Bind05	9.536343937744	2.17018421471583	25.6883732082573
s20250501vac30Bind10	4.91129845920365	-2.25835133694692	23.2616354096505
s20251101vac30Bind10	19.0832863238927	4.34526886309943	51.3765121730981
