epiM	epiL	epiU
s20250501vac0ind05	759.345555859449	492.872910888104	1050.55821771962
s20251101vac0ind05	863.476795034351	569.062227078955	1177.56506624777
s20250501vac0ind05s	194.392262596168	89.4027868892109	294.332206371031
s20251101vac0ind05s	219.471576116696	102.50585532999	329.543770434717
s20250501vac0ind05t	1343.74482614001	912.086918782969	1843.87525256472
s20251101vac0ind05t	1543.45111608655	1070.00743926952	2084.31323176769
s20250501vac0ind10	1455.12288969374	954.045461516626	2020.1733169017
s20251101vac0ind10	1655.74952858882	1098.30644355407	2252.69063618864
s20250501vac0ind10s	380.959620666924	177.080543607723	580.054304218587
s20251101vac0ind10s	434.116076245369	202.343874479766	647.449696500417
s20250501vac0ind10t	2525.63072745619	1721.82748868579	3494.76350881086
s20251101vac0ind10t	2871.0370332473	2001.29116443071	3890.61926010508
s20250501vac0ind20	2724.65946521316	1795.90799469898	3746.84830107805
s20251101vac0ind20	3055.22674435619	2051.67923586595	4153.68011935792
s20250501vac0ind20s	736.041757940317	347.495398402933	1134.84055828722
s20251101vac0ind20s	839.272988422761	396.113890806955	1254.51682406623
s20250501vac0ind20t	4520.93697402176	3101.1744937136	6247.40328279148
s20251101vac0ind20t	5051.62870553801	3551.29259887756	6947.41433689778
