iSel	rSel
780	1199
1638	2
1865	36
3601	249
5543	5
6024	15
6358	1
7750	1
7807	11
7990	1557
9175	3657
9381	3237
9521	9
9696	21
46	7
1560	19712
6869	92
10920	62
14588	1
15868	1
16547	123
18668	2
133	18
2253	4
4502	1
4772	480
5012	7
5536	181
5584	4498
5680	7
6066	86
7603	33
7888	239
8093	4445
9292	1
175	731
1806	34
2871	213
2970	400
3032	1317
3511	6
5467	8
7111	11
7484	14
7631	7101
8556	2
8869	163
148	16
247	237
378	6
3443	439
3670	3692
4683	758
4852	3
5006	1
5105	38
5152	2
8265	4632
8362	1
8701	175
2249	147
4380	19
4767	110
6950	24
7071	4
7396	420
7542	9276
47	4
158	33
509	11
934	295
1498	3
2031	2
2484	26
3125	26
5055	1
5734	4811
6569	4518
7695	4
7933	56
8189	210
281	4
605	3958
1699	2884
2743	62
3253	2
4333	778
4673	21
5979	841
6662	3
6796	20
7073	6
8461	1
8682	1269
9162	39
9466	112
562	468
2187	1
3015	3
3741	40
6920	7336
6953	893
7308	1201
7594	1
8144	57
1610	4043
1847	22
2313	2
3363	19
3975	36
4693	171
4966	156
5357	1340
6897	1
7993	2
8125	1
8289	10
8865	4183
9482	1
9569	12
9672	1
760	186
1616	49
2679	9
6495	9699
7298	34
7521	5
7771	1
7885	1
9259	16
1603	2816
1619	108
2032	585
2036	3218
2409	2
3507	423
3760	10
4015	183
4270	1
5905	2
6195	2251
6728	6
9391	395
1010	5567
1473	2
4226	32
6784	7
8713	1
8841	4
8915	4383
9021	4
471	2182
2048	19
5396	7
5812	1199
6890	925
7544	2247
7615	1
7715	1111
9099	7
9169	2302
219	2942
1703	267
4858	2276
7211	4505
8492	8
8513	1
10000	1
