upMrep	upLrep	upHrep	upM	upL	upH
infectiousSym1	16.0155294717292	10.0294409772281	20.3999445068297	15.9663752400789	8.13176333556344	20.5580782225676
infectiousSym2	4.93080881336322	2.83169004890583	7.95478037170051	4.56755306178377	2.46207890939618	8.70365751740254
infectiousSym3	2.84880413218809	2.07341356105322	3.82647586723976	2.77133705403772	2.05277696390841	3.82433333077185
beta	0.483730544243418	0.349072301962376	0.604660507499073	0.459855582680851	0.345660825822591	0.647639076458664
epsilonS	0.631736110766996	0.502092362381378	0.816662733989861	0.655867808386567	0.503574246423619	0.88083036392389
epsilonC	0.732354437012216	0.512360633579278	0.897284643076938	0.697424648487326	0.513261457164965	0.890564303304508
w	0.455519813629566	0.128346637967601	0.871796568328086	0.464787819199273	0.130292028344628	0.869782010765712
aC3	0.380264558069918	0.301623401923059	0.577767525006887	0.448911585456814	0.308612026382929	0.586749537681597
T1	53.9311515607966	52.0826407696823	59.0897151482025	54.9034379867014	52.0914745887634	59.5500594916724
T2	73.1970490778962	70.2415133284072	79.6343411768319	73.9255375903422	70.1916252415135	79.6078925925063
D1	0.34247924488053	0.0131201456254697	0.489611003251118	0.330027702083195	0.0327438823302892	0.492280454453453
D2	0.323190149132605	0.00949393643157091	0.493720394205826	0.31851453146626	0.0190336135632818	0.489322751208674
